产品编号,产品名称,交易码,交易名称,渠道,最小金额,最大金额,折扣率
162607,景顺长城资源垄断,100233,定期不定额修改,低柜,"10,000,000.00","9,999,999,999.00",1.0000
162607,景顺长城资源垄断,200208,定期定额处理,网银,0.00,"500,000.00",0.4000
162607,景顺长城资源垄断,200208,定期定额处理,网银,"500,000.00","5,000,000.00",0.5000
162607,景顺长城资源垄断,200208,定期定额处理,网银,"5,000,000.00","10,000,000.00",0.6000
162607,景顺长城资源垄断,200208,定期定额处理,网银,"10,000,000.00","9,999,999,999.00",1.0000
162607,景顺长城资源垄断,200208,定期定额处理,低柜,0.00,"500,000.00",0.8000
162607,景顺长城资源垄断,200208,定期定额处理,低柜,"500,000.00","5,000,000.00",0.8000
162607,景顺长城资源垄断,200208,定期定额处理,低柜,"5,000,000.00","10,000,000.00",0.8000
162607,景顺长城资源垄断,200208,定期定额处理,低柜,"10,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,100201,产品申购,网银,0.00,"1,000,000.00",0.4000
162703,广发小盘成长股票LOF,100201,产品申购,网银,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,100201,产品申购,网银,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,100208,定期定额开通,网银,0.00,"1,000,000.00",0.4000
162703,广发小盘成长股票LOF,100208,定期定额开通,网银,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,100208,定期定额开通,网银,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,100208,定期定额开通,低柜,0.00,"1,000,000.00",0.8000
162703,广发小盘成长股票LOF,100208,定期定额开通,低柜,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,100208,定期定额开通,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,100209,定期定额修改,网银,0.00,"1,000,000.00",0.4000
162703,广发小盘成长股票LOF,100209,定期定额修改,网银,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,100209,定期定额修改,网银,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,100209,定期定额修改,低柜,0.00,"1,000,000.00",0.8000
162703,广发小盘成长股票LOF,100209,定期定额修改,低柜,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,100209,定期定额修改,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,100232,定期不定额开通,网银,0.00,"1,000,000.00",0.4000
162703,广发小盘成长股票LOF,100232,定期不定额开通,网银,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,100232,定期不定额开通,网银,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,100232,定期不定额开通,低柜,0.00,"1,000,000.00",0.8000
162703,广发小盘成长股票LOF,100232,定期不定额开通,低柜,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,100232,定期不定额开通,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,100233,定期不定额修改,网银,0.00,"1,000,000.00",0.4000
162703,广发小盘成长股票LOF,100233,定期不定额修改,网银,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,100233,定期不定额修改,网银,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,100233,定期不定额修改,低柜,0.00,"1,000,000.00",0.8000
162703,广发小盘成长股票LOF,100233,定期不定额修改,低柜,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,100233,定期不定额修改,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,200208,定期定额处理,网银,0.00,"1,000,000.00",0.4000
162703,广发小盘成长股票LOF,200208,定期定额处理,网银,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,200208,定期定额处理,网银,"5,000,000.00","9,999,999,999.00",1.0000
162703,广发小盘成长股票LOF,200208,定期定额处理,低柜,0.00,"1,000,000.00",0.8000
162703,广发小盘成长股票LOF,200208,定期定额处理,低柜,"1,000,000.00","5,000,000.00",0.8572
162703,广发小盘成长股票LOF,200208,定期定额处理,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),100201,产品申购,网银,0.00,"1,000,000.00",0.5000
162711,广发中证500指数(LOF),100201,产品申购,网银,"1,000,000.00","5,000,000.00",0.7500
162711,广发中证500指数(LOF),100201,产品申购,网银,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),100208,定期定额开通,网银,0.00,"1,000,000.00",0.5000
162711,广发中证500指数(LOF),100208,定期定额开通,网银,"1,000,000.00","5,000,000.00",0.7500
162711,广发中证500指数(LOF),100208,定期定额开通,网银,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),100208,定期定额开通,低柜,0.00,"1,000,000.00",0.8000
162711,广发中证500指数(LOF),100208,定期定额开通,低柜,"1,000,000.00","5,000,000.00",0.8000
162711,广发中证500指数(LOF),100208,定期定额开通,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),100209,定期定额修改,网银,0.00,"1,000,000.00",0.5000
162711,广发中证500指数(LOF),100209,定期定额修改,网银,"1,000,000.00","5,000,000.00",0.7500
162711,广发中证500指数(LOF),100209,定期定额修改,网银,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),100209,定期定额修改,低柜,0.00,"1,000,000.00",0.8000
162711,广发中证500指数(LOF),100209,定期定额修改,低柜,"1,000,000.00","5,000,000.00",0.8000
162711,广发中证500指数(LOF),100209,定期定额修改,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),100232,定期不定额开通,网银,0.00,"1,000,000.00",0.5000
162711,广发中证500指数(LOF),100232,定期不定额开通,网银,"1,000,000.00","5,000,000.00",0.7500
162711,广发中证500指数(LOF),100232,定期不定额开通,网银,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),100232,定期不定额开通,低柜,0.00,"1,000,000.00",0.8000
162711,广发中证500指数(LOF),100232,定期不定额开通,低柜,"1,000,000.00","5,000,000.00",0.8000
162711,广发中证500指数(LOF),100232,定期不定额开通,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),100233,定期不定额修改,网银,0.00,"1,000,000.00",0.5000
162711,广发中证500指数(LOF),100233,定期不定额修改,网银,"1,000,000.00","5,000,000.00",0.7500
162711,广发中证500指数(LOF),100233,定期不定额修改,网银,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),100233,定期不定额修改,低柜,0.00,"1,000,000.00",0.8000
162711,广发中证500指数(LOF),100233,定期不定额修改,低柜,"1,000,000.00","5,000,000.00",0.8000
162711,广发中证500指数(LOF),100233,定期不定额修改,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),200208,定期定额处理,网银,0.00,"1,000,000.00",0.5000
162711,广发中证500指数(LOF),200208,定期定额处理,网银,"1,000,000.00","5,000,000.00",0.7500
162711,广发中证500指数(LOF),200208,定期定额处理,网银,"5,000,000.00","9,999,999,999.00",1.0000
162711,广发中证500指数(LOF),200208,定期定额处理,低柜,0.00,"1,000,000.00",0.8000
162711,广发中证500指数(LOF),200208,定期定额处理,低柜,"1,000,000.00","5,000,000.00",0.8000
162711,广发中证500指数(LOF),200208,定期定额处理,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162714,广发深证100指数分级,100201,产品申购,网银,0.00,"1,000,000.00",0.5000
162714,广发深证100指数分级,100201,产品申购,网银,"1,000,000.00","2,000,000.00",0.7500
162714,广发深证100指数分级,100201,产品申购,网银,"2,000,000.00","5,000,000.00",1.0000
162714,广发深证100指数分级,100201,产品申购,网银,"5,000,000.00","9,999,999,999.00",1.0000
162714,广发深证100指数分级,100201,产品申购,低柜,"2,000,000.00","5,000,000.00",1.0000
162714,广发深证100指数分级,100201,产品申购,低柜,"5,000,000.00","9,999,999,999.00",1.0000
162714,广发深证100指数分级,100208,定期定额开通,网银,0.00,"1,000,000.00",0.5000
162714,广发深证100指数分级,100208,定期定额开通,网银,"1,000,000.00","2,000,000.00",0.7500
162714,广发深证100指数分级,100208,定期定额开通,低柜,0.00,"2,000,000.00",0.8000
162714,广发深证100指数分级,100209,定期定额修改,网银,0.00,"1,000,000.00",0.5000
162714,广发深证100指数分级,100209,定期定额修改,网银,"1,000,000.00","2,000,000.00",0.7500
162714,广发深证100指数分级,100209,定期定额修改,低柜,0.00,"2,000,000.00",0.8000
162714,广发深证100指数分级,200208,定期定额处理,网银,0.00,"1,000,000.00",0.5000
162714,广发深证100指数分级,200208,定期定额处理,网银,"1,000,000.00","2,000,000.00",0.7500
162714,广发深证100指数分级,200208,定期定额处理,网银,"2,000,000.00","5,000,000.00",1.0000
162714,广发深证100指数分级,200208,定期定额处理,网银,"5,000,000.00","9,999,999,999.00",1.0000
162714,广发深证100指数分级,200208,定期定额处理,低柜,0.00,"1,000,000.00",0.8000
162714,广发深证100指数分级,200208,定期定额处理,低柜,"1,000,000.00","2,000,000.00",0.8000
162714,广发深证100指数分级,200208,定期定额处理,低柜,"2,000,000.00","5,000,000.00",1.0000
162714,广发深证100指数分级,200208,定期定额处理,低柜,"5,000,000.00","9,999,999,999.00",1.0000
164205,天弘深证成指,100201,产品申购,网银,0.00,"1,000,000.00",0.5000
164205,天弘深证成指,100201,产品申购,网银,"1,000,000.00","5,000,000.00",0.8572
164205,天弘深证成指,100201,产品申购,网银,"5,000,000.00","9,999,999,999.00",1.0000
164205,天弘深证成指,100201,产品申购,低柜,0.00,"1,000,000.00",0.8000
164205,天弘深证成指,100201,产品申购,低柜,"1,000,000.00","5,000,000.00",0.8572
164205,天弘深证成指,100201,产品申购,低柜,"5,000,000.00","9,999,999,999.00",1.0000
164205,天弘深证成指,100208,定期定额开通,网银,0.00,"1,000,000.00",0.5000
164205,天弘深证成指,100208,定期定额开通,网银,"1,000,000.00","5,000,000.00",0.8572
164205,天弘深证成指,100208,定期定额开通,低柜,0.00,"1,000,000.00",0.8000
164205,天弘深证成指,100208,定期定额开通,低柜,"1,000,000.00","5,000,000.00",0.8572
164205,天弘深证成指,100209,定期定额修改,网银,0.00,"1,000,000.00",0.5000
164205,天弘深证成指,100209,定期定额修改,网银,"1,000,000.00","5,000,000.00",0.8572
164205,天弘深证成指,100209,定期定额修改,低柜,0.00,"1,000,000.00",0.8000
164205,天弘深证成指,100209,定期定额修改,低柜,"1,000,000.00","5,000,000.00",0.8572
164205,天弘深证成指,200208,定期定额处理,网银,0.00,"1,000,000.00",0.5000
164205,天弘深证成指,200208,定期定额处理,网银,"1,000,000.00","5,000,000.00",0.8572
164205,天弘深证成指,200208,定期定额处理,网银,"5,000,000.00","9,999,999,999.00",1.0000
164205,天弘深证成指,200208,定期定额处理,低柜,0.00,"1,000,000.00",0.8000
164205,天弘深证成指,200208,定期定额处理,低柜,"1,000,000.00","5,000,000.00",0.8572
164205,天弘深证成指,200208,定期定额处理,低柜,"5,000,000.00","9,999,999,999.00",1.0000
164809,工银瑞信中证500,100201,产品申购,网银,0.00,"1,000,000.00",0.5000
164809,工银瑞信中证500,100201,产品申购,网银,"1,000,000.00","3,000,000.00",0.7500
164809,工银瑞信中证500,100208,定期定额开通,网银,0.00,"1,000,000.00",0.5000
164809,工银瑞信中证500,100208,定期定额开通,网银,"1,000,000.00","3,000,000.00",0.7500
164809,工银瑞信中证500,100208,定期定额开通,低柜,0.00,"3,000,000.00",0.8000
164809,工银瑞信中证500,100209,定期定额修改,网银,0.00,"1,000,000.00",0.5000
164809,工银瑞信中证500,100209,定期定额修改,网银,"1,000,000.00","3,000,000.00",0.7500
164809,工银瑞信中证500,100209,定期定额修改,低柜,0.00,"3,000,000.00",0.8000
164809,工银瑞信中证500,200208,定期定额处理,网银,0.00,"1,000,000.00",0.5000
164809,工银瑞信中证500,200208,定期定额处理,网银,"1,000,000.00","3,000,000.00",0.7500
164809,工银瑞信中证500,200208,定期定额处理,低柜,0.00,"3,000,000.00",0.8000
164823,工银瑞信深证成指LOF,100201,产品申购,网银,0.00,"1,000,000.00",0.5000
164823,工银瑞信深证成指LOF,100201,产品申购,网银,"1,000,000.00","3,000,000.00",0.7500
164823,工银瑞信深证成指LOF,100208,定期定额开通,网银,0.00,"1,000,000.00",0.5000
164823,工银瑞信深证成指LOF,100208,定期定额开通,网银,"1,000,000.00","3,000,000.00",0.7500
164823,工银瑞信深证成指LOF,100208,定期定额开通,低柜,0.00,"3,000,000.00",0.8000
164823,工银瑞信深证成指LOF,100209,定期定额修改,网银,0.00,"1,000,000.00",0.5000
164823,工银瑞信深证成指LOF,100209,定期定额修改,网银,"1,000,000.00","3,000,000.00",0.7500
164823,工银瑞信深证成指LOF,100209,定期定额修改,低柜,0.00,"3,000,000.00",0.8000
164823,工银瑞信深证成指LOF,200208,定期定额处理,网银,0.00,"1,000,000.00",0.5000
164823,工银瑞信深证成指LOF,200208,定期定额处理,网银,"1,000,000.00","3,000,000.00",0.7500
164823,工银瑞信深证成指LOF,200208,定期定额处理,低柜,0.00,"3,000,000.00",0.8000
166801,浙商聚潮新思维混合,100201,产品申购,网银,0.00,"1,000,000.00",0.4000
166801,浙商聚潮新思维混合,100201,产品申购,网银,"1,000,000.00","2,000,000.00",0.5000
166801,浙商聚潮新思维混合,100201,产品申购,网银,"2,000,000.00","5,000,000.00",0.7500
166801,浙商聚潮新思维混合,100201,产品申购,网银,"5,000,000.00","9,999,999,999.00",1.0000
166801,浙商聚潮新思维混合,100208,定期定额开通,网银,0.00,"1,000,000.00",0.4000
