ticker,secShortName,endDate,dailyProfit,weeklyYield,publishDate,currencyCd
"001826.OFCN","001826","国寿增金宝货币","2017-09-19",1.1082,4.089,"2017-09-20","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-18",1.1087,4.065,"2017-09-19","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-17",2.1642,4.053,"2017-09-18","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-15",1.1087,4.054,"2017-09-16","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-14",1.1356,4.038,"2017-09-15","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-13",1.0612,4.003,"2017-09-14","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-12",1.0633,4,"2017-09-13","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-11",1.0862,4.014,"2017-09-12","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-10",2.1664,4.03,"2017-09-11","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-08",1.0789,4.083,"2017-09-09","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-07",1.0712,4.113,"2017-09-08","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-06",1.0566,4.128,"2017-09-07","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-05",1.0896,4.156,"2017-09-06","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-04",1.1146,4.181,"2017-09-05","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-03",2.2649,4.17,"2017-09-04","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-09-01",1.1343,4.172,"2017-09-02","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-31",1.0983,4.149,"2017-09-01","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-30",1.1088,4.151,"2017-08-31","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-29",1.1352,4.145,"2017-08-30","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-28",1.0935,4.123,"2017-08-29","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-27",2.2684,4.113,"2017-08-28","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-25",1.0935,4.051,"2017-08-26","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-24",1.1012,4.377,"2017-08-25","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-23",1.0978,4.32,"2017-08-24","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-22",1.0954,4.26,"2017-08-23","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-21",1.0742,4.162,"2017-08-22","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-20",2.155,4.212,"2017-08-21","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-18",1.6925,4.103,"2017-08-19","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-17",0.9957,4.18,"2017-08-18","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-16",0.9878,4.134,"2017-08-17","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-15",0.9147,4.093,"2017-08-16","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-14",1.1673,4.134,"2017-08-15","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-13",1.9538,4.153,"2017-08-15","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-11",1.8354,4.118,"2017-08-12","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-10",0.911,4.083,"2017-08-11","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-09",0.9109,4.04,"2017-08-10","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-08",0.991,3.991,"2017-08-09","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-07",1.2028,3.921,"2017-08-08","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-06",1.888,3.851,"2017-08-07","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-04",1.7712,4.005,"2017-08-05","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-03",0.8315,4.202,"2017-08-04","CNY"
"001826.OFCN","001826","国寿增金宝货币","2017-08-02",0.821,4.169,"2017-08-03","CNY"
