userid,date,ticker,name,percent
19,2017-07-01,160121,160121,0.056246595
19,2017-07-01,270023,270023,0
19,2017-07-01,202302,202302,0.45
19,2017-08-09,020023,020023,0
19,2017-08-09,040020,040020,5.3766E-17
19,2017-08-09,050024,050024,0.55
19,2017-08-09,110022,110022,0
19,2017-08-09,110025,110025,0
19,2017-08-09,460002,460002,5.66335E-17
19,2017-08-09,202302,202302,0.45
20,2017-07-01,040018,040018,0
20,2017-07-01,070012,070012,0.439889397
20,2017-07-01,110022,110022,0
20,2017-07-01,110030,110030,3.3397E-16
20,2017-07-01,160121,160121,0.050110603
20,2017-07-01,270023,270023,0
20,2017-07-01,202302,202302,0.51
20,2017-08-09,020023,020023,0
20,2017-08-09,040020,040020,4.79006E-17
20,2017-08-09,050024,050024,0.49
20,2017-08-09,110022,110022,0
20,2017-08-09,110025,110025,0
20,2017-08-09,460002,460002,5.04553E-17
20,2017-08-09,202302,202302,0.51
21,2017-07-01,040018,040018,0
21,2017-07-01,070012,070012,0.341138716
21,2017-07-01,110022,110022,0
21,2017-07-01,110030,110030,2.58997E-16
21,2017-07-01,160121,160121,0.038861284
21,2017-07-01,270023,270023,0
21,2017-07-01,202302,202302,0.62
21,2017-08-09,020023,020023,0
21,2017-08-09,040020,040020,3.71474E-17
21,2017-08-09,050024,050024,0.38
21,2017-08-09,110022,110022,0
21,2017-08-09,110025,110025,0
21,2017-08-09,460002,460002,3.91286E-17
21,2017-08-09,202302,202302,0.62
22,2017-07-01,040018,040018,0
22,2017-07-01,070012,070012,0.350116051
22,2017-07-01,110022,110022,0
22,2017-07-01,110030,110030,2.65813E-16
22,2017-07-01,160121,160121,0.039883949
22,2017-07-01,270023,270023,0
22,2017-07-01,202302,202302,0.61
22,2017-08-09,020023,020023,0
22,2017-08-09,040020,040020,3.8125E-17
22,2017-08-09,050024,050024,0.39
22,2017-08-09,110022,110022,0
22,2017-08-09,110025,110025,0
22,2017-08-09,460002,460002,4.01583E-17
22,2017-08-09,202302,202302,0.61
23,2017-07-01,040018,040018,0
23,2017-07-01,070012,070012,0.628413425
23,2017-07-01,110022,110022,0
23,2017-07-01,110030,110030,4.771E-16
23,2017-07-01,160121,160121,0.071586575
23,2017-07-01,270023,270023,0
23,2017-07-01,202302,202302,0.3
23,2017-08-09,020023,020023,0
23,2017-08-09,040020,040020,6.84294E-17
23,2017-08-09,050024,050024,0.7
23,2017-08-09,110022,110022,0
23,2017-08-09,110025,110025,0
23,2017-08-09,460002,460002,7.2079E-17
23,2017-08-09,202302,202302,0.3
24,2017-07-01,040018,040018,0
24,2017-07-01,070012,070012,0.75409611
24,2017-07-01,110022,110022,0
24,2017-07-01,110030,110030,5.72521E-16
24,2017-07-01,160121,160121,0.08590389
24,2017-07-01,270023,270023,0
24,2017-07-01,202302,202302,0.16
24,2017-08-09,020023,020023,0
24,2017-08-09,040020,040020,8.21153E-17
24,2017-08-09,050024,050024,0.84
24,2017-08-09,110022,110022,0
24,2017-08-09,110025,110025,0
24,2017-08-09,460002,460002,8.64948E-17
24,2017-08-09,202302,202302,0.16
25,2017-07-01,040018,040018,0
25,2017-07-01,070012,070012,0.538640079
25,2017-07-01,110022,110022,0
25,2017-07-01,110030,110030,4.08943E-16
25,2017-07-01,160121,160121,0.061359921
25,2017-07-01,270023,270023,0
25,2017-07-01,202302,202302,0.4
25,2017-08-09,020023,020023,0
25,2017-08-09,040020,040020,5.86538E-17
25,2017-08-09,050024,050024,0.6
25,2017-08-09,110022,110022,0
25,2017-08-09,110025,110025,0
25,2017-08-09,460002,460002,6.1782E-17
25,2017-08-09,202302,202302,0.4
26,2017-07-01,202302,202302,1
27,2017-07-01,040018,040018,0
27,2017-07-01,070012,070012,0.484776071
27,2017-07-01,110022,110022,0
27,2017-07-01,110030,110030,3.68049E-16
27,2017-07-01,160121,160121,0.055223929
27,2017-07-01,270023,270023,0
27,2017-07-01,202302,202302,0.46
27,2017-08-09,020023,020023,0
27,2017-08-09,040020,040020,5.27884E-17
27,2017-08-09,050024,050024,0.54
27,2017-08-09,110022,110022,0
27,2017-08-09,110025,110025,0
27,2017-08-09,460002,460002,5.56038E-17
27,2017-08-09,202302,202302,0.46
28,2017-07-01,040018,040018,0
28,2017-07-01,070012,070012,0.592504086
28,2017-07-01,110022,110022,0
28,2017-07-01,110030,110030,4.49838E-16
28,2017-07-01,160121,160121,0.067495914
28,2017-07-01,270023,270023,0
28,2017-07-01,202302,202302,0.34
28,2017-08-09,020023,020023,0
28,2017-08-09,040020,040020,6.45192E-17
28,2017-08-09,050024,050024,0.66
28,2017-08-09,110022,110022,0
28,2017-08-09,110025,110025,0
28,2017-08-09,460002,460002,6.79602E-17
28,2017-08-09,202302,202302,0.34
29,2017-07-01,040018,040018,0
29,2017-07-01,070012,070012,0.565572082
29,2017-07-01,110022,110022,0
29,2017-07-01,110030,110030,4.2939E-16
29,2017-07-01,160121,160121,0.064427918
29,2017-07-01,270023,270023,0
29,2017-07-01,202302,202302,0.37
29,2017-08-09,020023,020023,0
29,2017-08-09,040020,040020,6.15865E-17
29,2017-08-09,050024,050024,0.63
29,2017-08-09,110022,110022,0
29,2017-08-09,110025,110025,0
29,2017-08-09,460002,460002,6.48711E-17
29,2017-08-09,202302,202302,0.37
30,2017-07-01,040018,040018,0
30,2017-07-01,070012,070012,0.601481421
30,2017-07-01,110022,110022,0
30,2017-07-01,110030,110030,4.56653E-16
30,2017-07-01,160121,160121,0.068518579
30,2017-07-01,270023,270023,0
30,2017-07-01,202302,202302,0.33
30,2017-08-09,020023,020023,0
30,2017-08-09,040020,040020,6.54967E-17
30,2017-08-09,050024,050024,0.67
30,2017-08-09,110022,110022,0
30,2017-08-09,110025,110025,0
30,2017-08-09,460002,460002,6.89899E-17
30,2017-08-09,202302,202302,0.33
31,2017-07-01,040018,040018,0
31,2017-07-01,070012,070012,0.484776071
31,2017-07-01,110022,110022,0
31,2017-07-01,110030,110030,3.68049E-16
31,2017-07-01,160121,160121,0.055223929
31,2017-07-01,270023,270023,0
31,2017-07-01,202302,202302,0.46
31,2017-08-09,020023,020023,0
31,2017-08-09,040020,040020,5.27884E-17
31,2017-08-09,050024,050024,0.54
31,2017-08-09,110022,110022,0
31,2017-08-09,110025,110025,0
31,2017-08-09,460002,460002,5.56038E-17
31,2017-08-09,202302,202302,0.46
32,2017-07-01,040018,040018,0
32,2017-07-01,070012,070012,0.547617413
32,2017-07-01,110022,110022,0
32,2017-07-01,110030,110030,4.15759E-16
32,2017-07-01,160121,160121,0.062382587
32,2017-07-01,270023,270023,0
32,2017-07-01,202302,202302,0.39
32,2017-08-09,020023,020023,0
32,2017-08-09,040020,040020,5.96313E-17
32,2017-08-09,050024,050024,0.61
32,2017-08-09,110022,110022,0
32,2017-08-09,110025,110025,0
32,2017-08-09,460002,460002,6.28117E-17
32,2017-08-09,202302,202302,0.39
33,2017-07-01,040018,040018,0
33,2017-07-01,070012,070012,0.745118775
33,2017-07-01,110022,110022,0
33,2017-07-01,110030,110030,5.65705E-16
33,2017-07-01,160121,160121,0.084881225
33,2017-07-01,270023,270023,0
33,2017-07-01,202302,202302,0.17
33,2017-08-09,020023,020023,0
33,2017-08-09,040020,040020,8.11377E-17
33,2017-08-09,050024,050024,0.83
33,2017-08-09,110022,110022,0
33,2017-08-09,110025,110025,0
33,2017-08-09,460002,460002,8.54651E-17
33,2017-08-09,202302,202302,0.17
34,2017-07-01,040018,040018,0
34,2017-07-01,070012,070012,0.772050779
34,2017-07-01,110022,110022,0
34,2017-07-01,110030,110030,5.86152E-16
34,2017-07-01,160121,160121,0.087949221
34,2017-07-01,270023,270023,0
34,2017-07-01,202302,202302,0.14
34,2017-08-09,020023,020023,0
34,2017-08-09,040020,040020,8.40704E-17
34,2017-08-09,050024,050024,0.86
34,2017-08-09,110022,110022,0
34,2017-08-09,110025,110025,0
34,2017-08-09,460002,460002,8.85542E-17
34,2017-08-09,202302,202302,0.14
35,2017-07-01,040018,040018,0
35,2017-07-01,070012,070012,0.583526752
