symbol,publishdate(min),nav_cur4
000013,20170705,1.1829
000013,20170706,1.2405
000013,20170707,1.1956
000013,20170709,2.4561
000013,20170710,1.2245
000013,20170711,1.2057
000013,20170712,1.208
000013,20170713,1.2062
000013,20170714,1.2022
000013,20170716,2.4016
000013,20170717,1.204
000013,20170718,1.2088
000013,20170719,1.2042
000013,20170720,1.2117
000013,20170721,1.2146
000013,20170723,2.407
000013,20170724,1.2112
000013,20170725,1.2107
000013,20170726,1.2098
000013,20170727,1.2591
000013,20170728,1.0879
000013,20170730,2.4255
000013,20170731,1.1745
000013,20170801,1.2054
000013,20170802,1.2109
000013,20170803,1.2063
000013,20170804,1.1188
000013,20170806,2.3981
000013,20170807,1.1968
000013,20170808,1.1893
000013,20170809,1.1886
000013,20170810,1.1265
000013,20170811,1.179
000013,20170813,2.3565
000013,20170814,1.1774
000013,20170815,1.186
000013,20170816,1.1698
000013,20170817,1.1395
000013,20170818,1.1216
000013,20170820,2.3854
000013,20170821,1.1437
000013,20170822,1.1588
000013,20170823,1.1912
000013,20170824,1.1936
000013,20170825,1.1165
000013,20170827,2.3817
000013,20170828,1.1492
000013,20170829,1.1535
000013,20170830,1.219
000013,20170831,1.1695
000013,20170901,1.1175
000013,20170903,2.4293
000013,20170904,1.1482
000013,20170905,1.192
000013,20170906,1.1617
000013,20170907,1.162
000013,20170908,1.1076
000013,20170910,2.3768
000013,20170911,1.1738
000013,20170912,1.136
000013,20170913,1.1788
000013,20170914,1.178
000013,20170915,1.1889
000013,20170917,2.3755
000013,20170918,1.1386
000013,20170919,1.1186
000013,20170920,1.1662
000013,20170921,1.1187
000013,20170922,1.1702
000013,20170924,2.3051
000013,20170925,1.1671
000013,20170926,1.1628
000013,20170927,1.1379
000013,20170929,1.1373
000013,20171008,10.2432
000013,20171009,1.2265
000013,20171010,1.1576
000013,20171011,1.1886
000013,20171012,1.2121
000013,20171013,1.1595
000013,20171015,2.2981
000013,20171016,1.1744
000013,20171017,1.1581
000013,20171018,1.1505
000013,20171019,1.1284
000013,20171020,1.1206
000013,20171022,2.2332
000013,20171023,1.1169
000013,20171024,1.114
000013,20171025,1.1185
000013,20171026,1.123
000013,20171027,1.1264
000013,20171029,2.2528
000013,20171030,1.138
000013,20171031,1.1381
000013,20171101,1.1494
000013,20171102,1.1612
000013,20171103,1.1684
000013,20171105,2.3361
000013,20171106,1.1505
000013,20171107,1.1586
000013,20171108,1.1728
000013,20171109,1.1566
000013,20171110,1.1495
000013,20171112,2.2966
000013,20171113,1.1499
000013,20171114,1.1482
000013,20171115,1.1492
000013,20171116,1.151
000013,20171117,1.1523
000013,20171119,2.3021
000013,20171120,1.1646
000037,20170702,2.3328
000037,20170703,1.1652
000037,20170704,1.1658
000037,20170705,1.1623
000037,20170706,1.1637
000037,20170707,1.1634
000037,20170709,2.3274
000037,20170710,1.1687
000037,20170711,1.1685
000037,20170712,1.1682
000037,20170713,1.1674
000037,20170714,1.1674
000037,20170716,2.3182
000037,20170717,1.1748
000037,20170718,1.1709
000037,20170719,1.1533
000037,20170720,1.1432
000037,20170721,1.1264
000037,20170723,2.2549
000037,20170724,1.1276
000037,20170725,1.1276
000037,20170726,1.1283
000037,20170727,1.1266
000037,20170728,1.128
000037,20170730,2.2548
000037,20170731,1.1276
000037,20170801,1.1265
000037,20170802,1.1266
000037,20170803,1.3121
000037,20170804,1.1213
000037,20170806,2.2415
000037,20170807,1.1209
000037,20170808,1.1208
000037,20170809,1.257
000037,20170810,1.2082
000037,20170811,1.1174
000037,20170813,2.2345
000037,20170814,1.1277
000037,20170815,1.1257
000037,20170816,1.1252
000037,20170817,1.1208
