date,中证500,创业板综,S&P 500,MSCI新兴市场,COMEX黄金
20170101,6263.6256,2600.7960,2238.8267,862.2748,1152.0000
20170102,6263.6256,2600.7960,2238.8267,861.8818,1152.0000
20170103,6320.7626,2613.6773,2257.8280,868.4405,1159.4000
20170104,6394.6694,2651.0271,2270.7525,871.4538,1164.2000
20170105,6399.2841,2642.3276,2268.9985,881.7174,1180.9000
20170106,6371.6168,2612.6448,2276.9814,881.1121,1172.9000
20170107,6371.6168,2612.6448,2276.9814,881.1121,1172.9000
20170108,6371.6168,2612.6448,2276.9814,881.1121,1172.9000
20170109,6415.4176,2611.1307,2268.9042,878.4401,1181.2000
20170110,6393.9283,2600.9068,2268.8995,885.7013,1187.6000
20170111,6331.9638,2573.6609,2275.3159,886.7324,1191.5000
20170112,6272.8510,2555.2404,2270.4429,896.6378,1195.1000
20170113,6194.6575,2507.2773,2274.6377,895.9757,1197.1000
20170114,6194.6575,2507.2773,2274.6377,895.9757,1197.1000
20170115,6194.6575,2507.2773,2274.6377,895.9757,1197.1000
20170116,6031.2414,2397.3484,2274.6377,889.1055,1202.6000
20170117,6082.0657,2441.2155,2267.8886,894.8714,1216.7000
20170118,6068.5930,2409.8843,2271.8894,897.8853,1203.7000
20170119,6043.6750,2405.8696,2263.6868,894.5181,1204.3000
20170120,6121.9983,2455.6183,2271.3147,893.2843,1210.2000
20170121,6121.9983,2455.6183,2271.3147,893.2843,1210.2000
20170122,6121.9983,2455.6183,2271.3147,893.2843,1210.2000
20170123,6172.1671,2476.6203,2265.2002,902.1390,1217.8000
20170124,6165.2642,2451.8334,2280.0742,908.6310,1208.6000
20170125,6179.5681,2465.9950,2298.3674,912.1594,1203.0000
20170126,6223.7061,2487.7285,2296.6808,916.7283,1190.8000
20170127,6223.7061,2487.7285,2294.6897,915.9209,1193.7000
20170128,6223.7061,2487.7285,2294.6897,915.9209,1193.7000
20170129,6223.7061,2487.7285,2294.6897,915.9209,1193.7000
20170130,6223.7061,2487.7285,2280.8963,913.0889,1197.4000
20170131,6223.7061,2487.7285,2278.8669,909.2282,1212.4000
20170201,6223.7061,2487.7285,2279.5543,912.9992,1211.7000
20170202,6223.7061,2487.7285,2280.8504,915.2076,1217.5000
20170203,6207.0921,2474.8814,2297.4159,918.8725,1222.0000
20170204,6207.0921,2474.8814,2297.4159,918.8725,1222.0000
20170205,6207.0921,2474.8814,2297.4159,918.8725,1222.0000
20170206,6259.2471,2507.7403,2292.5584,922.9855,1237.3000
20170207,6255.9270,2497.9129,2293.0811,919.8049,1235.5000
20170208,6291.5977,2522.4051,2294.6686,921.6765,1243.1000
20170209,6331.1771,2541.8125,2307.8746,925.5739,1229.4000
20170210,6337.1081,2524.5618,2316.0971,930.1587,1234.7000
20170211,6337.1081,2524.5618,2316.0971,930.1587,1234.7000
20170212,6337.1081,2524.5618,2316.0971,930.1587,1234.7000
20170213,6369.6526,2542.5458,2328.2533,935.4480,1226.1000
20170214,6374.8852,2536.5586,2337.5846,934.0784,1229.2000
20170215,6311.6959,2515.0872,2349.2474,941.7791,1234.7000
20170216,6359.3361,2522.6949,2347.2235,945.6181,1240.1000
20170217,6307.1627,2498.5999,2351.1617,939.0326,1236.0000
20170218,6307.1627,2498.5999,2351.1617,939.0326,1236.0000
20170219,6307.1627,2498.5999,2351.1617,939.0326,1236.0000
20170220,6385.0625,2509.7064,2351.1617,943.5820,1236.0000
20170221,6434.4383,2546.0309,2365.3827,945.6404,1236.7000
20170222,6474.2250,2549.3407,2362.8215,950.9534,1238.2000
20170223,6473.9930,2558.5541,2363.8067,952.1171,1250.7000
20170224,6476.1655,2577.9068,2367.3442,943.5154,1258.0000
20170225,6476.1655,2577.9068,2367.3442,943.5154,1258.0000
20170226,6476.1655,2577.9068,2367.3442,943.5154,1258.0000
20170227,6424.2549,2563.8497,2369.7503,940.3171,1253.4000
20170228,6450.9701,2570.2402,2363.6382,936.3714,1248.8000
20170301,6467.6385,2577.3322,2395.9571,938.4684,1250.0000
20170302,6434.6262,2561.3322,2381.9182,936.3733,1234.4000
20170303,6452.8390,2578.4543,2383.1170,931.0679,1234.9000
20170304,6452.8390,2578.4543,2383.1170,931.0679,1234.9000
20170305,6452.8390,2578.4543,2383.1170,931.0679,1234.9000
20170306,6517.3235,2622.4686,2375.3111,934.4233,1225.5000
20170307,6523.1868,2636.2559,2368.3942,936.5013,1215.9000
20170308,6497.0878,2621.5500,2362.9770,934.9017,1208.1000
20170309,6439.3822,2611.4119,2364.8698,922.9379,1200.9000
20170310,6447.9165,2609.1662,2372.5978,926.1435,1204.5000
20170311,6447.9165,2609.1662,2372.5978,926.1435,1204.5000
20170312,6447.9165,2609.1662,2372.5978,926.1435,1204.5000
20170313,6507.8964,2636.5375,2373.4730,938.5027,1203.6000
20170314,6493.4846,2627.9995,2365.4549,939.9665,1198.5000
20170315,6486.0616,2627.4853,2385.2645,943.5155,1219.6000
20170316,6543.3407,2651.5087,2381.3822,963.2016,1226.1000
20170317,6483.2463,2631.8230,2378.2531,965.5672,1228.9000
20170318,6483.2463,2631.8230,2378.2531,965.5672,1228.9000
20170319,6483.2463,2631.8230,2378.2531,965.5672,1228.9000
20170320,6498.3416,2640.9716,2373.4716,972.3523,1234.0000
20170321,6515.9458,2648.1809,2344.0171,973.0829,1244.6000
20170322,6499.7928,2633.1264,2348.4488,966.9701,1248.6000
20170323,6512.1874,2633.1993,2345.9622,967.9231,1248.1000
20170324,6546.6150,2644.1834,2343.9781,969.1260,1246.4000
20170325,6546.6150,2644.1834,2343.9781,969.1260,1246.4000
20170326,6546.6150,2644.1834,2343.9781,969.1260,1246.4000
20170327,6516.0326,2627.9152,2341.5906,965.7081,1257.3000
20170328,6498.6902,2620.9778,2358.5665,970.3210,1254.8000
20170329,6480.5430,2587.2092,2361.1330,971.8641,1256.3000
20170330,6375.7437,2523.7774,2368.0606,969.4674,1244.8000
20170331,6401.6479,2535.4918,2362.7182,958.3686,1251.6000
20170401,6401.6479,2535.4918,2362.7182,958.3686,1251.6000
20170402,6401.6479,2535.4918,2362.7182,958.3686,1251.6000
20170403,6401.6479,2535.4918,2358.8351,965.1469,1255.4000
20170404,6401.6479,2535.4918,2360.1557,965.1720,1258.0000
20170405,6539.9665,2587.2051,2352.9482,969.2220,1257.6000
20170406,6559.6526,2595.8329,2357.4891,963.2914,1253.6000
20170407,6578.7260,2594.4732,2355.5450,961.6128,1256.1000
20170408,6578.7260,2594.4732,2355.5450,961.6128,1256.1000
20170409,6578.7260,2594.4732,2355.5450,961.6128,1256.1000
20170410,6566.5441,2543.3467,2357.1634,958.0014,1256.4000
20170411,6629.1661,2558.9146,2353.7770,954.4395,1276.5000
20170412,6576.4761,2523.0968,2344.9263,958.2038,1288.9000
20170413,6615.7042,2537.7114,2328.9533,962.8532,1290.1000
20170414,6528.1624,2504.9046,2328.9533,960.4273,1290.1000
20170415,6528.1624,2504.9046,2328.9533,960.4273,1290.1000
20170416,6528.1624,2504.9046,2328.9533,960.4273,1290.1000
20170417,6456.5980,2463.5125,2328.9533,962.7085,1286.3000
20170418,6418.2114,2433.1126,2328.9533,957.6973,1291.5000
20170419,6350.6465,2423.8226,2338.1660,952.9235,1282.0000
20170420,6347.7732,2414.4766,2355.8441,958.4486,1283.5000
20170421,6300.7128,2400.0114,2348.6950,961.7799,1285.9000
20170422,6300.7128,2400.0114,2348.6950,961.7799,1285.9000
20170423,6300.7128,2400.0114,2348.6950,961.7799,1285.9000
20170424,6138.5049,2349.1050,2374.1507,971.3588,1277.9000
20170425,6160.4612,2361.6318,2388.6149,982.6505,1265.5000
20170426,6176.3981,2368.1268,2387.4479,982.5323,1270.7000
20170427,6192.3044,2402.3293,2388.7688,979.6629,1265.4000
20170428,6211.8624,2415.0874,2384.1955,977.9585,1269.5000
20170429,6211.8624,2415.0874,2384.1955,977.9585,1269.5000
