客户ID,日期,基金代码,基金名称,配置比例
25,2017-11-24,050003,博时现金收益A,0.1371
25,2017-11-24,001661,博时信用债纯债C,0.3873
25,2017-11-24,050111,博时信用债券C,0.1318
25,2017-11-24,002385,博时裕富沪深300C,0.1006
25,2017-11-24,050015,博时大中华人民币,0.06
25,2017-11-24,050025,博时标普500ETF联接,0.1832
26,2017-11-24,050003,博时现金收益A,1
27,2017-11-24,050003,博时现金收益A,0.1371
27,2017-11-24,001661,博时信用债纯债C,0.3873
27,2017-11-24,050111,博时信用债券C,0.1318
27,2017-11-24,002385,博时裕富沪深300C,0.1006
27,2017-11-24,050015,博时大中华人民币,0.06
27,2017-11-24,050025,博时标普500ETF联接,0.1832
28,2017-11-24,050003,博时现金收益A,0.0885
28,2017-11-24,001661,博时信用债纯债C,0.1687
28,2017-11-24,050111,博时信用债券C,0.2352
28,2017-11-24,002385,博时裕富沪深300C,0.1135
28,2017-11-24,050015,博时大中华人民币,0.1275
28,2017-11-24,050025,博时标普500ETF联接,0.1204
28,2017-11-24,160505,博时主题行业,0.1463
29,2017-11-24,050003,博时现金收益A,0.0885
29,2017-11-24,001661,博时信用债纯债C,0.1687
29,2017-11-24,050111,博时信用债券C,0.2352
29,2017-11-24,002385,博时裕富沪深300C,0.1135
29,2017-11-24,050015,博时大中华人民币,0.1275
29,2017-11-24,050025,博时标普500ETF联接,0.1204
29,2017-11-24,160505,博时主题行业,0.1463
30,2017-11-24,050003,博时现金收益A,0.0885
30,2017-11-24,001661,博时信用债纯债C,0.1687
30,2017-11-24,050111,博时信用债券C,0.2352
30,2017-11-24,002385,博时裕富沪深300C,0.1135
30,2017-11-24,050015,博时大中华人民币,0.1275
30,2017-11-24,050025,博时标普500ETF联接,0.1204
30,2017-11-24,160505,博时主题行业,0.1463
31,2017-11-24,050003,博时现金收益A,0.1371
31,2017-11-24,001661,博时信用债纯债C,0.3995
31,2017-11-24,050111,博时信用债券C,0.1276
31,2017-11-24,002385,博时裕富沪深300C,0.1046
31,2017-11-24,050015,博时大中华人民币,0.06
31,2017-11-24,050025,博时标普500ETF联接,0.1713
32,2017-11-24,050003,博时现金收益A,0.0885
32,2017-11-24,001661,博时信用债纯债C,0.1687
32,2017-11-24,050111,博时信用债券C,0.2352
32,2017-11-24,002385,博时裕富沪深300C,0.1135
32,2017-11-24,050015,博时大中华人民币,0.1275
32,2017-11-24,050025,博时标普500ETF联接,0.1204
32,2017-11-24,160505,博时主题行业,0.1463
33,2017-11-24,050003,博时现金收益A,0.0641
33,2017-11-24,001661,博时信用债纯债C,0.1602
33,2017-11-24,050111,博时信用债券C,0.1925
33,2017-11-24,002385,博时裕富沪深300C,0.132
33,2017-11-24,050015,博时大中华人民币,0.168
33,2017-11-24,050025,博时标普500ETF联接,0.0832
33,2017-11-24,160505,博时主题行业,0.2
34,2017-11-24,050003,博时现金收益A,0.0641
34,2017-11-24,001661,博时信用债纯债C,0.1602
34,2017-11-24,050111,博时信用债券C,0.1925
34,2017-11-24,002385,博时裕富沪深300C,0.132
34,2017-11-24,050015,博时大中华人民币,0.168
34,2017-11-24,050025,博时标普500ETF联接,0.0832
34,2017-11-24,160505,博时主题行业,0.2
35,2017-11-24,050003,博时现金收益A,0.0809
35,2017-11-24,001661,博时信用债纯债C,0.1515
35,2017-11-24,050111,博时信用债券C,0.2555
35,2017-11-24,002385,博时裕富沪深300C,0.1148
35,2017-11-24,050015,博时大中华人民币,0.1275
35,2017-11-24,050025,博时标普500ETF联接,0.1199
35,2017-11-24,160505,博时主题行业,0.15
36,2017-11-24,050003,博时现金收益A,0.1371
36,2017-11-24,001661,博时信用债纯债C,0.4116
36,2017-11-24,050111,博时信用债券C,0.1234
36,2017-11-24,002385,博时裕富沪深300C,0.1085
36,2017-11-24,050015,博时大中华人民币,0.06
36,2017-11-24,050025,博时标普500ETF联接,0.1594
37,2017-11-24,050003,博时现金收益A,0.1371
37,2017-11-24,001661,博时信用债纯债C,0.4116
37,2017-11-24,050111,博时信用债券C,0.1234
37,2017-11-24,002385,博时裕富沪深300C,0.1085
37,2017-11-24,050015,博时大中华人民币,0.06
37,2017-11-24,050025,博时标普500ETF联接,0.1594
38,2017-11-24,050003,博时现金收益A,0.0641
38,2017-11-24,001661,博时信用债纯债C,0.1602
38,2017-11-24,050111,博时信用债券C,0.1925
38,2017-11-24,002385,博时裕富沪深300C,0.132
38,2017-11-24,050015,博时大中华人民币,0.168
38,2017-11-24,050025,博时标普500ETF联接,0.0832
38,2017-11-24,160505,博时主题行业,0.2
39,2017-11-24,050003,博时现金收益A,0.0641
39,2017-11-24,001661,博时信用债纯债C,0.1602
39,2017-11-24,050111,博时信用债券C,0.1925
39,2017-11-24,002385,博时裕富沪深300C,0.132
39,2017-11-24,050015,博时大中华人民币,0.168
39,2017-11-24,050025,博时标普500ETF联接,0.0832
39,2017-11-24,160505,博时主题行业,0.2
40,2017-11-24,050003,博时现金收益A,0.1371
40,2017-11-24,001661,博时信用债纯债C,0.4116
40,2017-11-24,050111,博时信用债券C,0.1234
40,2017-11-24,002385,博时裕富沪深300C,0.1085
40,2017-11-24,050015,博时大中华人民币,0.06
40,2017-11-24,050025,博时标普500ETF联接,0.1594
