用户序号,日期,基金代码,基金名称,配置比例
126,2018-01-15,050002,博时裕富沪深300A,0.154 
126,2018-01-15,050011,博时信用债券A,0.468 
126,2018-01-15,000929,博时黄金ETF D,0.377 
127,2017-11-27,050002,博时裕富沪深300A,0.618 
127,2017-11-27,050011,博时信用债券A,0.236 
127,2017-11-27,000929,博时黄金ETF D,0.146 
128,2017-11-27,050002,博时裕富沪深300A,0.146 
128,2017-11-27,050011,博时信用债券A,0.385 
128,2017-11-27,000929,博时黄金ETF D,0.469 
128,2017-12-21,050002,博时裕富沪深300A,0.145 
128,2017-12-21,050011,博时信用债券A,0.459 
128,2017-12-21,000929,博时黄金ETF D,0.396 
128,2018-01-02,050002,博时裕富沪深300A,0.145 
128,2018-01-02,050011,博时信用债券A,0.543 
128,2018-01-02,000929,博时黄金ETF D,0.312 
128,2018-01-15,050002,博时裕富沪深300A,0.154 
128,2018-01-15,050011,博时信用债券A,0.468 
128,2018-01-15,000929,博时黄金ETF D,0.377 
129,2017-11-27,050002,博时裕富沪深300A,0.618 
129,2017-11-27,050011,博时信用债券A,0.236 
129,2017-11-27,000929,博时黄金ETF D,0.146 
130,2017-11-27,050002,博时裕富沪深300A,0.146 
130,2017-11-27,050011,博时信用债券A,0.618 
130,2017-11-27,000929,博时黄金ETF D,0.236 
131,2017-11-27,050002,博时裕富沪深300A,0.618 
131,2017-11-27,050011,博时信用债券A,0.236 
131,2017-11-27,000929,博时黄金ETF D,0.146 
132,2017-11-27,050002,博时裕富沪深300A,0.236 
132,2017-11-27,050011,博时信用债券A,0.618 
132,2017-11-27,000929,博时黄金ETF D,0.146 
133,2017-11-27,050002,博时裕富沪深300A,0.146 
133,2017-11-27,050011,博时信用债券A,0.385 
133,2017-11-27,000929,博时黄金ETF D,0.469 
133,2017-12-21,050002,博时裕富沪深300A,0.145 
133,2017-12-21,050011,博时信用债券A,0.459 
133,2017-12-21,000929,博时黄金ETF D,0.396 
133,2018-01-02,050002,博时裕富沪深300A,0.145 
133,2018-01-02,050011,博时信用债券A,0.543 
133,2018-01-02,000929,博时黄金ETF D,0.312 
133,2018-01-15,050002,博时裕富沪深300A,0.154 
133,2018-01-15,050011,博时信用债券A,0.468 
133,2018-01-15,000929,博时黄金ETF D,0.377 
134,2017-11-27,050002,博时裕富沪深300A,0.236 
134,2017-11-27,050011,博时信用债券A,0.618 
134,2017-11-27,000929,博时黄金ETF D,0.146 
135,2017-11-27,050002,博时裕富沪深300A,0.146 
135,2017-11-27,050011,博时信用债券A,0.385 
135,2017-11-27,000929,博时黄金ETF D,0.469 
135,2017-12-21,050002,博时裕富沪深300A,0.145 
135,2017-12-21,050011,博时信用债券A,0.459 
135,2017-12-21,000929,博时黄金ETF D,0.396 
135,2018-01-02,050002,博时裕富沪深300A,0.145 
135,2018-01-02,050011,博时信用债券A,0.543 
135,2018-01-02,000929,博时黄金ETF D,0.312 
135,2018-01-15,050002,博时裕富沪深300A,0.154 
135,2018-01-15,050011,博时信用债券A,0.468 
135,2018-01-15,000929,博时黄金ETF D,0.377 
136,2017-11-27,050011,博时信用债券A,0.618 
136,2017-11-27,000929,博时黄金ETF D,0.236 
136,2017-12-21,050002,博时裕富沪深300A,0.146 
137,2017-11-27,050002,博时裕富沪深300A,0.146 
137,2017-11-27,050011,博时信用债券A,0.385 
137,2017-11-27,000929,博时黄金ETF D,0.469 
137,2017-12-21,050002,博时裕富沪深300A,0.145 
137,2017-12-21,050011,博时信用债券A,0.459 
137,2017-12-21,000929,博时黄金ETF D,0.396 
137,2018-01-02,050002,博时裕富沪深300A,0.145 
137,2018-01-02,050011,博时信用债券A,0.543 
137,2018-01-02,000929,博时黄金ETF D,0.312 
137,2018-01-15,050002,博时裕富沪深300A,0.154 
137,2018-01-15,050011,博时信用债券A,0.468 
137,2018-01-15,000929,博时黄金ETF D,0.377 
138,2017-11-25,001826,国寿安保增金宝,1
139,2017-11-27,050002,博时裕富沪深300A,0.236 
139,2017-11-27,050011,博时信用债券A,0.618 
139,2017-11-27,000929,博时黄金ETF D,0.146 
140,2017-11-27,050002,博时裕富沪深300A,0.146 
140,2017-11-27,050011,博时信用债券A,0.618 
140,2017-11-27,000929,博时黄金ETF D,0.236 
141,2017-11-27,050002,博时裕富沪深300A,0.146 
141,2017-11-27,050011,博时信用债券A,0.618 
141,2017-11-27,000929,博时黄金ETF D,0.236 
142,2017-11-27,050002,博时裕富沪深300A,0.236 
142,2017-11-27,050011,博时信用债券A,0.618 
142,2017-11-27,000929,博时黄金ETF D,0.146 
143,2017-11-27,050002,博时裕富沪深300A,0.146 
143,2017-11-27,050011,博时信用债券A,0.385 
143,2017-11-27,000929,博时黄金ETF D,0.469 
143,2017-12-21,050002,博时裕富沪深300A,0.145 
143,2017-12-21,050011,博时信用债券A,0.459 
143,2017-12-21,000929,博时黄金ETF D,0.396 
143,2018-01-02,050002,博时裕富沪深300A,0.145 
143,2018-01-02,050011,博时信用债券A,0.543 
143,2018-01-02,000929,博时黄金ETF D,0.312 
143,2018-01-15,050002,博时裕富沪深300A,0.154 
143,2018-01-15,050011,博时信用债券A,0.468 
143,2018-01-15,000929,博时黄金ETF D,0.377 
