用户,日期,基金代码,基金名称,配置比例
14,2017-08-18,050027,博时信用债纯债债券A,0.3294
14,2017-07-01,160127,南方新兴消费增长分级股票,0.0518
14,2017-08-18,160127,南方新兴消费增长分级股票,0.1276
14,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1999
14,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0866
14,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0198
14,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0525
14,2017-07-01,260116,景顺长城核心竞争力混合A,0.0517
14,2017-08-18,000307,易方达黄金ETF联接A,0.0577
14,2017-08-18,110031,易方达恒生国企联接QDII,0.1912
15,2017-07-01,050025,博时标普500ETF联接QDII,0.1522
15,2017-08-18,050025,博时标普500ETF联接QDII,0.1566
15,2017-07-01,050027,博时信用债纯债债券A,0.5525
15,2017-08-18,050027,博时信用债纯债债券A,0.5507
15,2017-07-01,160127,南方新兴消费增长分级股票,0.0691
15,2017-08-18,160127,南方新兴消费增长分级股票,0.0799
15,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1595
15,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0548
15,2017-07-01,162607,景顺长城资源垄断混合LOF,0.012
15,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0359
15,2017-08-18,000307,易方达黄金ETF联接A,0.0451
15,2017-08-18,110031,易方达恒生国企联接QDII,0.1319
16,2017-07-01,070008,嘉实货币A,1
17,2017-07-01,050025,博时标普500ETF联接QDII,0.0546
17,2017-07-01,050027,博时信用债纯债债券A,0.7719
17,2017-07-01,160127,南方新兴消费增长分级股票,0.034
17,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1087
17,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0245
17,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0063
18,2017-07-01,050025,博时标普500ETF联接QDII,0.3813
18,2017-08-18,050025,博时标普500ETF联接QDII,0.3446
18,2017-07-01,160127,南方新兴消费增长分级股票,0.1602
18,2017-08-18,160127,南方新兴消费增长分级股票,0.2031
18,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2851
18,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1437
18,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0297
18,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0861
18,2017-08-18,000307,易方达黄金ETF联接A,0.1002
18,2017-08-18,110031,易方达恒生国企联接QDII,0.2661
19,2017-07-01,050025,博时标普500ETF联接QDII,0.1523
19,2017-08-18,050025,博时标普500ETF联接QDII,0.1669
19,2017-07-01,050027,博时信用债纯债债券A,0.5525
19,2017-08-18,050027,博时信用债纯债债券A,0.5619
19,2017-07-01,160127,南方新兴消费增长分级股票,0.0691
19,2017-08-18,160127,南方新兴消费增长分级股票,0.0875
