客户ID,日期,基金代码,基金名称,配置比例
22,2017-07-01,050002,博时沪深300指数,0.1236
22,2017-07-01,050025,博时标普500ETF联接,0.055
23,2017-07-01,070008,嘉实货币,0.0971
23,2017-07-01,519153,新华纯债添利C,0.0847
23,2017-07-01,050111,博时信用债券C,0.1882
23,2017-07-01,050002,博时沪深300指数,0.2259
23,2017-07-01,040018,华安香港精选,0.144
23,2017-07-01,050025,博时标普500ETF联接,0.0649
23,2017-07-01,160121,南方金砖四国,0.0833
23,2017-07-01,160416,华安标普全球石油,0.1119
24,2017-07-01,070008,嘉实货币,0.1041
24,2017-07-01,519153,新华纯债添利C,0.0331
24,2017-07-01,050111,博时信用债券C,0.1766
24,2017-07-01,050002,博时沪深300指数,0.25
24,2017-07-01,040018,华安香港精选,0.1106
24,2017-07-01,050025,博时标普500ETF联接,0.0736
24,2017-07-01,160121,南方金砖四国,0.054
24,2017-07-01,160416,华安标普全球石油,0.198
25,2017-07-01,070008,嘉实货币,0.1371
25,2017-07-01,519153,新华纯债添利C,0.1547
25,2017-07-01,050111,博时信用债券C,0.174
25,2017-07-01,050002,博时沪深300指数,0.267
25,2017-07-01,050025,博时标普500ETF联接,0.093
25,2017-07-01,160121,南方金砖四国,0.1742
26,2017-07-01,070008,嘉实货币,1
27,2017-07-01,070008,嘉实货币,0.1371
27,2017-07-01,519153,新华纯债添利C,0.1547
27,2017-07-01,050111,博时信用债券C,0.174
27,2017-07-01,050002,博时沪深300指数,0.267
27,2017-07-01,050025,博时标普500ETF联接,0.093
27,2017-07-01,160121,南方金砖四国,0.1742
28,2017-07-01,070008,嘉实货币,0.0971
28,2017-07-01,519153,新华纯债添利C,0.0847
28,2017-07-01,050111,博时信用债券C,0.1882
28,2017-07-01,050002,博时沪深300指数,0.2259
28,2017-07-01,040018,华安香港精选,0.144
28,2017-07-01,050025,博时标普500ETF联接,0.0649
28,2017-07-01,160121,南方金砖四国,0.0833
28,2017-07-01,160416,华安标普全球石油,0.1119
29,2017-07-01,070008,嘉实货币,0.0971
29,2017-07-01,519153,新华纯债添利C,0.0847
29,2017-07-01,050111,博时信用债券C,0.1882
29,2017-07-01,050002,博时沪深300指数,0.2259
29,2017-07-01,040018,华安香港精选,0.144
29,2017-07-01,050025,博时标普500ETF联接,0.0649
29,2017-07-01,160121,南方金砖四国,0.0833
29,2017-07-01,160416,华安标普全球石油,0.1119
30,2017-07-01,070008,嘉实货币,0.0971
30,2017-07-01,519153,新华纯债添利C,0.0847
30,2017-07-01,050111,博时信用债券C,0.1882
30,2017-07-01,050002,博时沪深300指数,0.2259
30,2017-07-01,040018,华安香港精选,0.144
30,2017-07-01,050025,博时标普500ETF联接,0.0649
30,2017-07-01,160121,南方金砖四国,0.0833
30,2017-07-01,160416,华安标普全球石油,0.1119
31,2017-07-01,070008,嘉实货币,0.1371
31,2017-07-01,519153,新华纯债添利C,0.1531
31,2017-07-01,050111,博时信用债券C,0.1738
31,2017-07-01,050002,博时沪深300指数,0.2754
31,2017-07-01,050025,博时标普500ETF联接,0.093
31,2017-07-01,160121,南方金砖四国,0.1676
32,2017-07-01,070008,嘉实货币,0.0971
32,2017-07-01,519153,新华纯债添利C,0.0847
32,2017-07-01,050111,博时信用债券C,0.1882
32,2017-07-01,050002,博时沪深300指数,0.2259
32,2017-07-01,040018,华安香港精选,0.144
32,2017-07-01,050025,博时标普500ETF联接,0.0649
32,2017-07-01,160121,南方金砖四国,0.0833
32,2017-07-01,160416,华安标普全球石油,0.1119
33,2017-07-01,070008,嘉实货币,0.0721
33,2017-07-01,519153,新华纯债添利C,0.0331
33,2017-07-01,050111,博时信用债券C,0.2086
33,2017-07-01,050002,博时沪深300指数,0.25
33,2017-07-01,040018,华安香港精选,0.1106
33,2017-07-01,050025,博时标普500ETF联接,0.0736
33,2017-07-01,160121,南方金砖四国,0.054
33,2017-07-01,160416,华安标普全球石油,0.198
34,2017-07-01,070008,嘉实货币,0.0721
34,2017-07-01,519153,新华纯债添利C,0.0331
34,2017-07-01,050111,博时信用债券C,0.2086
34,2017-07-01,050002,博时沪深300指数,0.25
34,2017-07-01,040018,华安香港精选,0.1106
34,2017-07-01,050025,博时标普500ETF联接,0.0736
34,2017-07-01,160121,南方金砖四国,0.054
34,2017-07-01,160416,华安标普全球石油,0.198
35,2017-07-01,070008,嘉实货币,0.0971
35,2017-07-01,519153,新华纯债添利C,0.0847
35,2017-07-01,050111,博时信用债券C,0.1882
35,2017-07-01,050002,博时沪深300指数,0.2259
35,2017-07-01,040018,华安香港精选,0.144
35,2017-07-01,050025,博时标普500ETF联接,0.0649
35,2017-07-01,160121,南方金砖四国,0.0833
35,2017-07-01,160416,华安标普全球石油,0.1119
36,2017-07-01,070008,嘉实货币,0.1371
36,2017-07-01,519153,新华纯债添利C,0.1563
36,2017-07-01,050111,博时信用债券C,0.1715
36,2017-07-01,050002,博时沪深300指数,0.2838
36,2017-07-01,050025,博时标普500ETF联接,0.093
36,2017-07-01,160121,南方金砖四国,0.1583
37,2017-07-01,070008,嘉实货币,0.1371
37,2017-07-01,519153,新华纯债添利C,0.1563
37,2017-07-01,050111,博时信用债券C,0.1715
37,2017-07-01,050002,博时沪深300指数,0.2838
37,2017-07-01,050025,博时标普500ETF联接,0.093
37,2017-07-01,160121,南方金砖四国,0.1583
37,2017-11-24,070008,嘉实货币,0.137004762
37,2017-11-24,519153,新华纯债添利C,0.407919048
37,2017-11-24,050111,博时信用债券C,0.102452381
37,2017-11-24,050002,博时沪深300指数,0.109419048
37,2017-11-24,040018,华安香港精选,0.057142857
37,2017-11-24,050025,博时标普500ETF联接,0.057095238
37,2017-11-24,160121,南方金砖四国,0.128966667
38,2017-07-01,070008,嘉实货币,0.0721
38,2017-07-01,519153,新华纯债添利C,0.0331
38,2017-07-01,050111,博时信用债券C,0.2086
38,2017-07-01,050002,博时沪深300指数,0.25
38,2017-07-01,040018,华安香港精选,0.1106
38,2017-07-01,050025,博时标普500ETF联接,0.0736
38,2017-07-01,160121,南方金砖四国,0.054
38,2017-07-01,160416,华安标普全球石油,0.198
38,2017-11-24,070008,嘉实货币,0.0721
38,2017-11-24,519153,新华纯债添利C,0.185957143
38,2017-11-24,050111,博时信用债券C,0.2086
38,2017-11-24,050002,博时沪深300指数,0.091809524
38,2017-11-24,040018,华安香港精选,0.233838095
38,2017-11-24,050025,博时标普500ETF联接,0.05112381
38,2017-11-24,160121,南方金砖四国,0.075714286
38,2017-11-24,160416,华安标普全球石油,0.080857143
39,2017-07-01,070008,嘉实货币,0.0721
39,2017-07-01,519153,新华纯债添利C,0.0331
39,2017-07-01,050111,博时信用债券C,0.2086
39,2017-07-01,050002,博时沪深300指数,0.25
39,2017-07-01,040018,华安香港精选,0.1106
39,2017-07-01,050025,博时标普500ETF联接,0.0736
39,2017-07-01,160121,南方金砖四国,0.054
39,2017-07-01,160416,华安标普全球石油,0.198
40,2017-07-01,070008,嘉实货币,0.1371
40,2017-07-01,519153,新华纯债添利C,0.1563
40,2017-07-01,050111,博时信用债券C,0.1715
40,2017-07-01,050002,博时沪深300指数,0.2838
40,2017-07-01,050025,博时标普500ETF联接,0.093
40,2017-07-01,160121,南方金砖四国,0.1583
41,2017-07-01,070008,嘉实货币,0.1371
41,2017-07-01,519153,新华纯债添利C,0.1547
41,2017-07-01,050111,博时信用债券C,0.174
41,2017-07-01,050002,博时沪深300指数,0.267
41,2017-07-01,050025,博时标普500ETF联接,0.093
41,2017-07-01,160121,南方金砖四国,0.1742
41,2017-11-24,070008,嘉实货币,0.1371
41,2017-11-24,519153,新华纯债添利C,0.381336364
41,2017-11-24,050111,博时信用债券C,0.110545455
41,2017-11-24,050002,博时沪深300指数,0.110727273
41,2017-11-24,040018,华安香港精选,0.054545455
41,2017-11-24,050025,博时标普500ETF联接,0.058727273
41,2017-11-24,160121,南方金砖四国,0.147018182
42,2017-07-01,070008,嘉实货币,0.1371
42,2017-07-01,519153,新华纯债添利C,0.1547
42,2017-07-01,050111,博时信用债券C,0.174
42,2017-07-01,050002,博时沪深300指数,0.267
42,2017-07-01,050025,博时标普500ETF联接,0.093
42,2017-07-01,160121,南方金砖四国,0.1742
43,2017-07-01,070008,嘉实货币,0.1041
43,2017-07-01,519153,新华纯债添利C,0.0331
43,2017-07-01,050111,博时信用债券C,0.1766
43,2017-07-01,050002,博时沪深300指数,0.25
43,2017-07-01,040018,华安香港精选,0.1106
43,2017-07-01,050025,博时标普500ETF联接,0.0736
43,2017-07-01,160121,南方金砖四国,0.054
43,2017-07-01,160416,华安标普全球石油,0.198
44,2017-07-01,070008,嘉实货币,0.1041
44,2017-07-01,519153,新华纯债添利C,0.0331
44,2017-07-01,050111,博时信用债券C,0.1766
44,2017-07-01,050002,博时沪深300指数,0.25
44,2017-07-01,040018,华安香港精选,0.1106
44,2017-07-01,050025,博时标普500ETF联接,0.0736
44,2017-07-01,160121,南方金砖四国,0.054
44,2017-07-01,160416,华安标普全球石油,0.198
45,2017-07-01,070008,嘉实货币,0.1041
45,2017-07-01,519153,新华纯债添利C,0.0331
45,2017-07-01,050111,博时信用债券C,0.1766
45,2017-07-01,050002,博时沪深300指数,0.25
45,2017-07-01,040018,华安香港精选,0.1106
45,2017-07-01,050025,博时标普500ETF联接,0.0736
45,2017-07-01,160121,南方金砖四国,0.054
45,2017-07-01,160416,华安标普全球石油,0.198
