data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20080408,20080408 00:00,21:00:17,000300,16597,505952892.4,1789895133,20080408
20170630,20170630 00:00,21:02:45,399004,35310,506144176.9,585715896.3,20170630
20150619,20150619 00:00,21:00:54,399004,31202,506238880.7,589645735.4,20150619
20170629,20170629 00:00,21:04:42,399004,35302,506239560.6,585854588.9,20170629
20140909,20140909 00:00,21:00:58,399107,29632,506957208.3,632068218.8,20140909
20140922,20140922 00:00,21:02:25,399107,29704,507195561.9,633495557.2,20140922
20071127,20071127 00:00,21:02:11,000300,15865,507638534.8,2332544640,20071127
20080317,20080317 00:00,21:00:17,000300,16473,507757326.8,1869529656,20080317
20170704,20170704 00:00,21:01:00,399004,35326,507981037.9,630759550.5,20170704
20140916,20140916 00:00,21:00:58,399106,29670,508202481.5,634280804.4,20140916
20170627,20170627 00:00,21:04:21,399004,35286,508360390.6,588277157,20170627
20070823,20070823 00:00,21:00:09,000001,15322,508374176.7,1733326556,20070823
20090424,20090424 00:00,21:00:02,000001,18691,508443286.8,1386882797,20090424
20090422,20090422 00:00,21:00:08,000001,18675,508467357.5,1394796284,20090422
20140911,20140911 00:00,21:01:32,399107,29648,508598865,636051866.6,20140911
20090413,20090413 00:00,21:00:06,000002,18621,508814043.8,1417796650,20090413
20140910,20140910 00:00,21:00:53,399107,29640,508870143.1,635480637.2,20140910
20170626,20170626 00:00,21:02:01,399004,35278,509028933.9,589086716.6,20170626
20080513,20080513 00:00,21:00:22,000300,16785,509030270.7,1752948945,20080513
20170710,20170710 00:00,21:02:58,399004,35358,509191560.9,632556767.5,20170710
20070830,20070830 00:00,21:00:12,000002,15364,509277971.1,1768147484,20070830
20140904,20140904 00:00,21:01:47,399106,29610,509485677.5,634351308.1,20140904
20140918,20140918 00:00,21:02:30,399107,29688,509549544.5,636109362.4,20140918
20170726,20170726 00:00,21:01:12,399004,35454,509906752.4,630520579.3,20170726
20170804,20170804 00:00,21:02:52,399004,35510,509980182.2,629697605.5,20170804
20090504,20090504 00:00,21:00:06,000300,18741,510445332,1396549646,20090504
20170712,20170712 00:00,21:04:06,399004,35374,511066024.8,634135220.5,20170712
20070907,20070907 00:00,21:00:18,000300,15417,511123105.6,1755023893,20070907
20090423,20090423 00:00,21:00:18,000001,18683,511347724.9,1395264875,20090423
20140905,20140905 00:00,21:00:20,399106,29618,511568044.3,636997278.4,20140905
20170707,20170707 00:00,21:00:56,399004,35350,511810761.7,635852920.8,20170707
20080403,20080403 00:00,21:00:13,000001,16570,511829211.9,1800813991,20080403
20070829,20070829 00:00,21:00:07,000001,15354,511877651,1759769594,20070829
20170727,20170727 00:00,21:01:22,399004,35462,511938833.7,633477984.8,20170727
20080509,20080509 00:00,21:00:14,000300,16769,512018811.5,1780470262,20080509
20170714,20170714 00:00,21:01:00,399004,35390,512163437.1,635538430.8,20170714
20170719,20170719 00:00,21:01:58,399004,35414,512229272,634641171.5,20170719
20070912,20070912 00:00,21:00:16,000002,15436,512257099.2,1773039099,20070912
20170713,20170713 00:00,21:04:17,399004,35382,512271917.8,635461492.8,20170713
20170706,20170706 00:00,21:02:08,399004,35342,512290159.8,636341723.2,20170706
20170703,20170703 00:00,21:00:28,399004,35318,512308532.3,636495973.3,20170703
20140917,20140917 00:00,21:00:19,399106,29678,512457469.7,639140223.3,20140917
20080521,20080521 00:00,21:00:24,000300,16833,512462946.3,1747564527,20080521
