data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20140513,20140513 00:00,21:00:09,000001,28959,1345738119,1493782363,2014-05-13
20131108,20131108 00:00,21:00:38,000002,27941,1345813006,1487993575,2013-11-08
20140709,20140709 00:00,21:00:23,000001,29283,1345825204,1493928990,2014-07-09
20120316,20120316 00:00,21:00:29,000002,24615,1345872292,1647469730,2012-03-16
20110803,20110803 00:00,21:00:41,000300,23351,1345892848,1664875919,2011-08-03
20110802,20110802 00:00,21:00:15,000300,23343,1345987829,1665903948,2011-08-02
20140805,20140805 00:00,21:02:01,000300,29441,1346063885,1496145138,2014-08-05
20120427,20120427 00:00,21:00:51,000002,24843,1346190917,1638257246,2012-04-27
20140820,20140820 00:00,21:00:27,000300,29529,1346300909,1496326493,2014-08-20
20140710,20140710 00:00,21:00:10,000001,29291,1346301024,1493897554,2014-07-10
20140610,20140610 00:00,21:00:17,000002,29117,1346324345,1490892621,2014-06-10
20150528,20150528 00:00,21:00:38,000016,31076,1346456732,1400367737,2015-05-28
20111116,20111116 00:00,21:00:28,000002,23947,1346465710,1655764632,2011-11-16
20131227,20131227 00:00,21:01:32,000002,28221,1346491884,1494748040,2013-12-27
20110905,20110905 00:00,21:00:14,000001,23537,1346527221,1652327307,2011-09-05
20140423,20140423 00:00,21:01:23,000002,28857,1346763914,1498376191,2014-04-23
20140424,20140424 00:00,21:00:30,000001,28863,1346816354,1497398452,2014-04-24
20130315,20130315 00:00,21:00:21,000002,26645,1346858328,1594521009,2013-03-15
20140811,20140811 00:00,21:00:47,000300,29473,1346862315,1494592161,2014-08-11
20130508,20130508 00:00,21:00:44,000001,26927,1346886384,1581932328,2013-05-08
20131223,20131223 00:00,21:00:08,000001,28187,1346924222,1492315262,2013-12-23
20120306,20120306 00:00,21:00:24,000002,24551,1346968344,1644827769,2012-03-06
20110613,20110613 00:00,21:00:13,000300,23043,1347074775,1650165146,2011-06-13
20130510,20130510 00:00,21:00:14,000001,26943,1347214767,1582969574,2013-05-10
20140512,20140512 00:00,21:00:59,000001,28951,1347361596,1495197563,2014-05-12
