用户序号,日期,基金代码,基金名称,配置比例
10,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.1575
10,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.1021
10,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1904
10,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
11,2017-07-03,50003,博时现金收益证券投资基金A级,0.15
11,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.1
11,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
11,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
11,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
11,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
11,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
11,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
11,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
11,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.1575
11,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.1021
11,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1904
11,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
12,2017-07-03,50003,博时现金收益证券投资基金A级,0.15
12,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.1
12,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
12,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
12,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
12,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
12,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
12,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
12,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
12,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.1575
12,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.1021
12,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1904
12,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
13,2017-07-03,50003,博时现金收益证券投资基金A级,0.3
13,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.35
13,2017-07-03,160505,博时主题行业混合型证券投资基金,0.15
13,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.05
13,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
13,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
13,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.05
13,2017-12-08,50003,博时现金收益证券投资基金A级,0.4
13,2017-12-08,50011,博时信用债券投资基金A/B类,0.4
13,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.0946
13,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1054
14,2017-07-03,50003,博时现金收益证券投资基金A级,0.05
14,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.25
14,2017-07-03,160505,博时主题行业混合型证券投资基金,0.1
14,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
14,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
14,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.25
14,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.2
14,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
14,2017-12-08,50011,博时信用债券投资基金A/B类,0.2
14,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.25
14,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.05
14,2017-12-08,50007,博时平衡配置混合型证券投资基金,0.1
14,2017-12-08,50015,博时大中华亚太精选股票证券投资基金,0.05
14,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1
14,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
15,2017-07-03,50003,博时现金收益证券投资基金A级,0.15
15,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.1
15,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
15,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
15,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
15,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
15,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
15,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
15,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
15,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.1575
15,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.1021
15,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1904
15,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
16,2017-07-03,50003,博时现金收益证券投资基金A级,0.4
16,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.4
16,2017-07-03,160505,博时主题行业混合型证券投资基金,0.2
16,2017-12-08,50003,博时现金收益证券投资基金A级,0.6
16,2017-12-08,50011,博时信用债券投资基金A/B类,0.4
17,2017-07-03,50003,博时现金收益证券投资基金A级,0.3
17,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.35
17,2017-07-03,160505,博时主题行业混合型证券投资基金,0.15
17,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.05
17,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
17,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
17,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.05
17,2017-12-08,50003,博时现金收益证券投资基金A级,0.4
17,2017-12-08,50011,博时信用债券投资基金A/B类,0.4
17,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.0946
17,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1054
18,2017-07-03,50003,博时现金收益证券投资基金A级,0.05
18,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.15
18,2017-07-03,160505,博时主题行业混合型证券投资基金,0.05
18,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.05
18,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.08
18,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.32
18,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
18,2017-12-08,50003,博时现金收益证券投资基金A级,0.1
