,ticker,secShortName,dailyProfit,weeklyYield,publishDate,currencyCd
2017-09-19,1010,易方达增金宝货币,1.0989,4.162,2017-09-20,CNY
2017-09-18,1010,易方达增金宝货币,1.112,4.196000000000001,2017-09-19,CNY
2017-09-17,1010,易方达增金宝货币,1.0995,4.26,2017-09-18,CNY
2017-09-15,1010,易方达增金宝货币,1.0983,4.297,2017-09-16,CNY
2017-09-14,1010,易方达增金宝货币,1.1598,4.316,2017-09-15,CNY
2017-09-13,1010,易方达增金宝货币,1.1521,4.27,2017-09-14,CNY
2017-09-12,1010,易方达增金宝货币,1.162,4.238,2017-09-13,CNY
2017-09-11,1010,易方达增金宝货币,1.229,4.283,2017-09-12,CNY
2017-09-10,1010,易方达增金宝货币,1.1336,4.246,2017-09-11,CNY
2017-09-08,1010,易方达增金宝货币,1.1343,4.292,2017-09-09,CNY
2017-09-07,1010,易方达增金宝货币,1.0753,4.313,2017-09-08,CNY
2017-09-06,1010,易方达增金宝货币,1.0937,4.363,2017-09-07,CNY
2017-09-05,1010,易方达增金宝货币,1.2439,4.388,2017-09-06,CNY
2017-09-04,1010,易方达增金宝货币,1.1611,4.3180000000000005,2017-09-05,CNY
2017-09-03,1010,易方达增金宝货币,1.17545,4.31,2017-09-04,CNY
2017-09-01,1010,易方达增金宝货币,1.1745,4.227,2017-09-02,CNY
2017-08-31,1010,易方达增金宝货币,1.1666,4.177,2017-09-01,CNY
2017-08-30,1010,易方达增金宝货币,1.1391,4.138,2017-08-31,CNY
2017-08-29,1010,易方达增金宝货币,1.1157,4.117,2017-08-30,CNY
2017-08-28,1010,易方达增金宝货币,1.1454,4.125,2017-08-29,CNY
2017-08-27,1010,易方达增金宝货币,1.09945,4.099,2017-08-28,CNY
2017-08-25,1010,易方达增金宝货币,1.0826,4.093,2017-08-26,CNY
2017-08-24,1010,易方达增金宝货币,1.0951,4.095,2017-08-25,CNY
2017-08-23,1010,易方达增金宝货币,1.1004,4.099,2017-08-24,CNY
2017-08-22,1010,易方达增金宝货币,1.1294,4.093999999999999,2017-08-23,CNY
2017-08-21,1010,易方达增金宝货币,1.0979,4.077,2017-08-22,CNY
2017-08-20,1010,易方达增金宝货币,1.09425,4.075,2017-08-21,CNY
2017-08-18,1010,易方达增金宝货币,1.0862,4.06,2017-08-19,CNY
2017-08-17,1010,易方达增金宝货币,1.1031,4.053999999999999,2017-08-18,CNY
2017-08-16,1010,易方达增金宝货币,1.0908,4.039,2017-08-17,CNY
2017-08-15,1010,易方达增金宝货币,1.0974,4.032,2017-08-16,CNY
2017-08-14,1010,易方达增金宝货币,1.0943,4.04,2017-08-15,CNY
2017-08-13,1010,易方达增金宝货币,1.0802,4.0680000000000005,2017-08-14,CNY
2017-08-11,1010,易方达增金宝货币,1.0762,4.125,2017-08-12,CNY
2017-08-10,1010,易方达增金宝货币,1.0754,4.154,2017-08-11,CNY
2017-08-09,1010,易方达增金宝货币,1.0785,4.181,2017-08-10,CNY
2017-08-08,1010,易方达增金宝货币,1.1113,4.209,2017-08-09,CNY
2017-08-07,1010,易方达增金宝货币,1.1458,4.226,2017-08-08,CNY
2017-08-06,1010,易方达增金宝货币,1.1331,4.2330000000000005,2017-08-07,CNY
2017-08-04,1010,易方达增金宝货币,1.1296,4.248,2017-08-05,CNY
2017-08-03,1010,易方达增金宝货币,1.1243,4.252,2017-08-04,CNY
2017-08-02,1010,易方达增金宝货币,1.1307,4.253,2017-08-03,CNY
2017-08-01,1010,易方达增金宝货币,1.1428,4.256,2017-08-02,CNY
2017-07-31,1010,易方达增金宝货币,1.1572,4.263,2017-08-01,CNY
2017-07-30,1010,易方达增金宝货币,1.14755,4.273,2017-07-31,CNY
