,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
0,1008.955093045154,1009.0579761959917,1009.161606450147,1009.2663574248966,1009.3704531570014
1,2017.910186090308,2018.1159523919835,2018.323212900294,2018.5327148497931,2018.7409063140028
2,5044.775465225766,5045.289880979955,5045.808032250732,5046.33178712448,5046.8522657850035
3,10089.550930451533,10090.57976195991,10091.616064501464,10092.66357424896,10093.704531570007
4,15134.326395677295,15135.869642939862,15137.424096752193,15138.995361373436,15140.556797355008
5,20179.101860903065,20181.15952391982,20183.23212900293,20185.32714849792,20187.409063140014
6,30478.076568770186,30386.58292067547,30304.76619317466,30412.113704792373,30371.470345820533
7,51684.829793428464,51510.00447321568,51319.1294395482,51557.70015707735,51466.4298515737
8,103369.65958685693,103019.97154166052,102638.17719248965,103115.35603231883,102932.70506511934
9,203187.1771251345,202577.21947116978,202031.77462116437,202747.42469861577,202476.46897213685
10,203187.1771251345,202577.21947116978,202031.77462116437,202747.42469861577,202476.46897213685
11,101593.58856256725,101288.60973558489,101015.88731058218,101373.71234930788,101238.23448606842
12,49900.27051479752,49776.346945500525,49685.46103788278,49829.735406368454,49707.38010773154
13,31010.897876057075,30905.991574436517,30791.453306998046,30934.609017120245,30879.813764273196
14,20318.71771251345,20257.726212768004,20203.183149651133,20274.745313628926,20247.651162864706
15,15134.326395677295,15135.869642939862,15137.424096752193,15138.995361373436,15140.556797355008
16,9980.054102959512,9955.536753893546,9937.434070611786,9971.228028868956,9946.828400661027
17,5328.781540919559,5310.837919653372,5280.183163460013,5322.526372809503,5282.917423865674
18,2032.024640910304,2026.5356246107046,2020.518582480883,2029.9746825393415,2022.2458346930732
19,1016.0495908638582,1013.3029340880396,1010.2920564884676,1015.0223279060388,1011.1522687335503
20,997.842672595164,995.0855009448651,993.5855834841088,996.0956567775812,996.3400808707339
21,1996.0040612078608,1991.1035594053772,1987.4859872058519,1994.2400800412038,1989.3702302440197
22,5168.773737609374,5153.335420493323,5132.196588251804,5161.84990619918,5134.770635595547
23,10657.559370884324,10621.68148239591,10560.367371734099,10645.056818993125,10565.859515239179
24,15239.0426810139,15193.295843768088,15152.387468215175,15206.061239509494,15185.739554160546
25,20179.101860903065,20181.15952391982,20183.23212900293,20185.32714849792,20187.409063140014
26,30478.076568770186,30386.58292067547,30304.76619317466,30412.113704792373,30371.470345820533
27,51684.829793428464,51510.00447321568,51319.1294395482,51557.70015707735,51466.4298515737
28,103369.65958685693,103019.97154166052,102638.17719248965,103115.35603231883,102932.70506511934
29,206739.31917371385,206040.06129509906,205276.57562784126,206230.82956313365,205865.76280853117
30,203187.1771251345,202577.21947116978,202031.77462116437,202747.42469861577,202476.46897213685
31,103369.65958685693,103019.97154166052,102638.17719248965,103115.35603231883,102932.70506511934
32,53280.45914201638,53069.02070050823,52794.817044106596,53126.68147773005,53014.47436592957
33,31968.275485209826,31841.41242030494,31676.890226463962,31876.00888663804,31808.68461955775
34,20673.931917371392,20604.006054884336,20527.65746328336,20623.081484696966,20586.57478436152
35,15239.0426810139,15193.295843768088,15152.387468215175,15206.061239509494,15185.739554160546
36,10160.195456733734,10132.562512346456,10102.432794418819,10146.318040347522,10107.621624575777
37,5328.781540919559,5310.837919653372,5280.183163460013,5322.526372809503,5282.917423865674
38,2131.5198557054227,2124.3479877717236,2112.0832718646243,2129.0224479647068,2113.191154553292
39,1016.0495908638582,1013.3029340880396,1010.2920564884676,1015.0223279060388,1011.1522687335503
40,1016.0495908638582,1013.3029340880396,1010.2920564884676,1015.0223279060388,1011.1522687335503
41,2032.024640910304,2026.5356246107046,2020.518582480883,2029.9746825393415,2022.2458346930732
42,5328.781540919559,5310.837919653372,5280.183163460013,5322.526372809503,5282.917423865674
43,10657.559370884324,10621.68148239591,10560.367371734099,10645.056818993125,10565.859515239179
44,15984.14331597734,15920.695611892641,15838.430472363814,15937.998414523017,15904.301145422829
45,20179.101860903065,20181.15952391982,20183.23212900293,20185.32714849792,20187.409063140014
46,31010.897876057075,30905.991574436517,30791.453306998046,30934.609017120245,30879.813764273196
47,53280.45914201638,53069.02070050823,52794.817044106596,53126.68147773005,53014.47436592957
48,103369.65958685693,103019.97154166052,102638.17719248965,103115.35603231883,102932.70506511934
49,206739.31917371385,206040.06129509906,205276.57562784126,206230.82956313365,205865.76280853117
50,203187.1771251345,202577.21947116978,202031.77462116437,202747.42469861577,202476.46897213685
51,101593.58856256725,101288.60973558489,101015.88731058218,101373.71234930788,101238.23448606842
52,51684.829793428464,51510.00447321568,51319.1294395482,51557.70015707735,51466.4298515737
53,31968.275485209826,31841.41242030494,31676.890226463962,31876.00888663804,31808.68461955775
54,21312.183656806552,21227.608280203294,21117.92681764264,21250.67259109203,21205.789746371833
55,15239.0426810139,15193.295843768088,15152.387468215175,15206.061239509494,15185.739554160546
56,10160.195456733734,10132.562512346456,10102.432794418819,10146.318040347522,10107.621624575777
57,5328.781540919559,5310.837919653372,5280.183163460013,5322.526372809503,5282.917423865674
58,2131.5198557054227,2124.3479877717236,2112.0832718646243,2129.0224479647068,2113.191154553292
59,997.842672595164,995.0855009448651,993.5855834841088,996.0956567775812,996.3400808707339
60,997.842672595164,995.0855009448651,993.5855834841088,996.0956567775812,996.3400808707339
61,1996.0040612078608,1991.1035594053772,1987.4859872058519,1994.2400800412038,1989.3702302440197
62,5328.781540919559,5310.837919653372,5280.183163460013,5322.526372809503,5282.917423865674
63,10657.559370884324,10621.68148239591,10560.367371734099,10645.056818993125,10565.859515239179
