,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
0,1020.388747741786,1020.192952937353,1018.9455656410283,1020.7467782397669,1020.3364628813177
1,2040.7774954835734,2040.3859058747075,2037.891131282058,2041.4935564795353,2040.6729257626369
2,5101.943738708932,5100.964764686767,5094.727828205144,5103.733891198836,5101.68231440659
3,10203.887477417864,10201.929529373534,10189.455656410288,10207.467782397673,10203.36462881318
4,15305.831216126784,15302.89429406029,15284.18348461542,15311.201673596493,15305.046943219757
5,20407.77495483573,20403.85905874707,20378.911312820575,20414.93556479535,20406.729257626364
6,32206.13017951908,32007.974279516857,31928.05316768205,32122.170529386087,31915.402492597772
7,54635.60696796932,53955.29961768964,53953.20124076944,54536.19448334817,53889.86530333747
8,109271.21393593863,107910.59923537928,107906.40248153888,109072.38896669634,107779.73060667494
9,214707.5345301271,213386.49519677888,212853.68778454684,214147.80352924045,212769.34995065164
10,214707.5345301271,213386.49519677888,212853.68778454684,214147.80352924045,212769.34995065164
11,107353.76726506355,106693.24759838944,106426.84389227342,107073.90176462023,106384.67497532582
12,50821.99930089565,50754.01176881713,50629.0317836374,50734.313889517594,50694.499217811506
13,32781.36418078158,32373.179770613773,32371.92074446166,32721.716690008892,32333.91918200248
14,21470.753453012727,21338.649519677903,21285.368778454704,21414.78035292406,21276.934995065178
15,15305.831216126784,15302.89429406029,15284.18348461542,15311.201673596493,15305.046943219757
16,10164.399860179135,10150.80235376343,10125.806356727484,10146.862777903523,10138.899843562303
17,5588.996883425672,5504.857115298436,5504.198426117342,5579.625304081831,5505.745664944287
18,2147.075345301271,2133.8649519677892,2128.536877845469,2141.478035292405,2127.693499506517
19,1073.5376726506356,1066.9324759838946,1064.2684389227345,1070.7390176462025,1063.8467497532586
20,1016.4399860179127,1015.0802353763422,1012.5806356727476,1014.6862777903516,1013.8899843562297
21,2032.8799720358252,2030.1604707526847,2025.161271345495,2029.372555580703,2027.779968712459
22,5463.560696796927,5395.52996176896,5395.3201240769395,5453.619448334813,5388.986530333744
23,11177.993766851338,11009.714230596866,11008.39685223468,11159.250608163657,11011.491329888566
24,16103.065089759537,16003.987139758423,15964.026583841021,16061.08526469304,15957.70124629888
25,20407.77495483573,20403.85905874707,20378.911312820575,20414.93556479535,20406.729257626364
26,32206.13017951908,32007.974279516857,31928.05316768205,32122.170529386087,31915.402492597772
27,54635.60696796932,53955.29961768964,53953.20124076944,54536.19448334817,53889.86530333747
28,109271.21393593863,107910.59923537928,107906.40248153888,109072.38896669634,107779.73060667494
29,218542.42787187718,215821.19847075842,215812.80496307762,218144.77793339253,215559.4612133498
30,214707.5345301271,213386.49519677888,212853.68778454684,214147.80352924045,212769.34995065164
31,109271.21393593863,107910.59923537928,107906.40248153888,109072.38896669634,107779.73060667494
32,55889.9688342567,55048.57115298434,55041.984261173406,55796.253040818294,55057.456649442836
33,33533.98130055401,33029.14269179059,33025.19055670404,33477.75182449096,33034.4739896657
34,21854.24278718772,21582.119847075854,21581.280496307772,21814.47779333926,21555.946121334986
35,16103.065089759537,16003.987139758423,15964.026583841021,16061.08526469304,15957.70124629888
36,10735.376726506356,10669.324759838946,10642.684389227343,10707.390176462024,10638.467497532583
37,5588.996883425672,5504.857115298436,5504.198426117342,5579.625304081831,5505.745664944287
38,2235.598753370267,2201.942846119372,2201.6793704469346,2231.8501216327304,2202.2982659777117
39,1073.5376726506356,1066.9324759838946,1064.2684389227345,1070.7390176462025,1063.8467497532586
40,1073.5376726506356,1066.9324759838946,1064.2684389227345,1070.7390176462025,1063.8467497532586
41,2147.075345301271,2133.8649519677892,2128.536877845469,2141.478035292405,2127.693499506517
42,5588.996883425672,5504.857115298436,5504.198426117342,5579.625304081831,5505.745664944287
43,11177.993766851338,11009.714230596866,11008.39685223468,11159.250608163657,11011.491329888566
44,16766.990650277006,16514.571345895296,16512.59527835202,16738.87591224548,16517.23699483285
45,20407.77495483573,20403.85905874707,20378.911312820575,20414.93556479535,20406.729257626364
46,32781.36418078158,32373.179770613773,32371.92074446166,32721.716690008892,32333.91918200248
47,55889.9688342567,55048.57115298434,55041.984261173406,55796.253040818294,55057.456649442836
48,109271.21393593863,107910.59923537928,107906.40248153888,109072.38896669634,107779.73060667494
49,218542.42787187718,215821.19847075842,215812.80496307762,218144.77793339253,215559.4612133498
50,214707.5345301271,213386.49519677888,212853.68778454684,214147.80352924045,212769.34995065164
51,107353.76726506355,106693.24759838944,106426.84389227342,107073.90176462023,106384.67497532582
52,54635.60696796932,53955.29961768964,53953.20124076944,54536.19448334817,53889.86530333747
53,33533.98130055401,33029.14269179059,33025.19055670404,33477.75182449096,33034.4739896657
54,22355.987533702682,22019.428461193733,22016.79370446936,22318.501216327313,22022.98265977714
55,16103.065089759537,16003.987139758423,15964.026583841021,16061.08526469304,15957.70124629888
56,10735.376726506356,10669.324759838946,10642.684389227343,10707.390176462024,10638.467497532583
57,5588.996883425672,5504.857115298436,5504.198426117342,5579.625304081831,5505.745664944287
58,2235.598753370267,2201.942846119372,2201.6793704469346,2231.8501216327304,2202.2982659777117
59,1016.4399860179127,1015.0802353763422,1012.5806356727476,1014.6862777903516,1013.8899843562297
60,1016.4399860179127,1015.0802353763422,1012.5806356727476,1014.6862777903516,1013.8899843562297
61,2032.8799720358252,2030.1604707526847,2025.161271345495,2029.372555580703,2027.779968712459
62,5588.996883425672,5504.857115298436,5504.198426117342,5579.625304081831,5505.745664944287
63,11177.993766851338,11009.714230596866,11008.39685223468,11159.250608163657,11011.491329888566
