,客户风险能力类型,新老客户种类,性别,存款比例,基金1比例,基金2比例,基金3比例
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.35326359 ,0.14576066 ,0.28097575 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.18870206 ,0.00000000 ,0.59129794 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.00642771 ,0.04670912 ,0.72686317 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.00000014 ,0.21305205 ,0.56694781 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.00000000 ,0.46596713 ,0.31403287 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.03561024 ,0.00361505 ,0.74077471 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.00000000 ,0.00000000 ,0.78000000 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.20210000 ,0.25990000 ,0.30800000 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.05270168 ,0.71729832 ,0.00000000 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.34873457 ,0.14389194 ,0.27737349 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.18628281 ,0.00000000 ,0.58371719 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.00634530 ,0.04611028 ,0.71754442 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.00000014 ,0.21032061 ,0.55967925 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.00000000 ,0.45999319 ,0.31000681 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.03515370 ,0.00356870 ,0.73127760 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.00000000 ,0.00000000 ,0.77000000 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.67130000 ,0.11990000 ,0.16780000 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.06563755 ,0.89336245 ,0.00000000 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.43433306 ,0.17921087 ,0.34545608 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.23200677 ,0.00000000 ,0.72699323 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.00790279 ,0.05742826 ,0.89366895 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.00000017 ,0.26194476 ,0.69705507 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.00000000 ,0.57290061 ,0.38609939 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.04378234 ,0.00444465 ,0.91077301 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.00000000 ,0.00000000 ,0.95900000 
0.00000000 ,C4成长型(61-80),增1老客户,女,0.04600000 ,0.66780000 ,0.11930000 ,0.16700000 
0.00000000 ,C4成长型(61-80),增1老客户,女,0.04600000 ,0.06529533 ,0.88870467 ,0.00000000 
0.00000000 ,C4成长型(61-80),增1老客户,女,0.04600000 ,0.43206855 ,0.17827650 ,0.34365495 
0.00000000 ,C4成长型(61-80),增1老客户,女,0.04600000 ,0.23079714 ,0.00000000 ,0.72320286 
0.00000000 ,C4成长型(61-80),增1老客户,女,0.04600000 ,0.00786158 ,0.05712884 ,0.88900958 
0.00000000 ,C4成长型(61-80),增1老客户,女,0.04600000 ,0.00000017 ,0.26057904 ,0.69342078 
0.00000000 ,C4成长型(61-80),增1老客户,女,0.04600000 ,0.00000000 ,0.56991364 ,0.38408636 
0.00000000 ,C4成长型(61-80),增1老客户,女,0.04600000 ,0.04355407 ,0.00442148 ,0.90602445 
0.00000000 ,C4成长型(61-80),增1老客户,女,0.04600000 ,0.00000000 ,0.00000000 ,0.95400000 
0.00000000 ,C4成长型(61-80),增2老客户,男,0.04100000 ,0.11990000 ,0.67130000 ,0.16780000 
0.00000000 ,C4成长型(61-80),增2老客户,男,0.04100000 ,0.06563755 ,0.89336245 ,0.00000000 
0.00000000 ,C4成长型(61-80),增2老客户,男,0.04100000 ,0.43433306 ,0.17921087 ,0.34545608 
0.00000000 ,C4成长型(61-80),增2老客户,男,0.04100000 ,0.23200677 ,0.00000000 ,0.72699323 
0.00000000 ,C4成长型(61-80),增2老客户,男,0.04100000 ,0.00790279 ,0.05742826 ,0.89366895 
0.00000000 ,C4成长型(61-80),增2老客户,男,0.04100000 ,0.00000017 ,0.26194476 ,0.69705507 
0.00000000 ,C4成长型(61-80),增2老客户,男,0.04100000 ,0.00000000 ,0.57290061 ,0.38609939 
0.00000000 ,C4成长型(61-80),增2老客户,男,0.04100000 ,0.04378234 ,0.00444465 ,0.91077301 
0.00000000 ,C4成长型(61-80),增2老客户,男,0.04100000 ,0.00000000 ,0.00000000 ,0.95900000 
0.00000000 ,C4成长型(61-80),增2老客户,女,0.04600000 ,0.11930000 ,0.66780000 ,0.16700000 
0.00000000 ,C4成长型(61-80),增2老客户,女,0.04600000 ,0.06529533 ,0.88870467 ,0.00000000 
0.00000000 ,C4成长型(61-80),增2老客户,女,0.04600000 ,0.43206855 ,0.17827650 ,0.34365495 
0.00000000 ,C4成长型(61-80),增2老客户,女,0.04600000 ,0.23079714 ,0.00000000 ,0.72320286 
0.00000000 ,C4成长型(61-80),增2老客户,女,0.04600000 ,0.00786158 ,0.05712884 ,0.88900958 
0.00000000 ,C4成长型(61-80),增2老客户,女,0.04600000 ,0.00000017 ,0.26057904 ,0.69342078 
0.00000000 ,C4成长型(61-80),增2老客户,女,0.04600000 ,0.00000000 ,0.56991364 ,0.38408636 
0.00000000 ,C4成长型(61-80),增2老客户,女,0.04600000 ,0.04355407 ,0.00442148 ,0.90602445 
0.00000000 ,C4成长型(61-80),增2老客户,女,0.04600000 ,0.00000000 ,0.00000000 ,0.95400000 
0.00000000 ,C3平衡性(41-60),新客户,男,0.24000000 ,0.19950000 ,0.25650000 ,0.30400000 
0.00000000 ,C3平衡性(41-60),新客户,男,0.24000000 ,0.05201724 ,0.70798275 ,0.00000000 
0.00000000 ,C3平衡性(41-60),新客户,男,0.24000000 ,0.34420555 ,0.14202321 ,0.27377124 
0.00000000 ,C3平衡性(41-60),新客户,男,0.24000000 ,0.18386355 ,0.00000000 ,0.57613645 
0.00000000 ,C3平衡性(41-60),新客户,男,0.24000000 ,0.00626290 ,0.04551145 ,0.70822566 
0.00000000 ,C3平衡性(41-60),新客户,男,0.24000000 ,0.00000014 ,0.20758917 ,0.55241069 
0.00000000 ,C3平衡性(41-60),新客户,男,0.24000000 ,0.00000000 ,0.45401925 ,0.30598075 
0.00000000 ,C3平衡性(41-60),新客户,男,0.24000000 ,0.03469716 ,0.00352235 ,0.72178049 
0.00000000 ,C3平衡性(41-60),新客户,男,0.24000000 ,0.00000000 ,0.00000000 ,0.76000000 
0.00000000 ,C3平衡性(41-60),新客户,女,0.25000000 ,0.19690000 ,0.25310000 ,0.30000000 
0.00000000 ,C3平衡性(41-60),新客户,女,0.25000000 ,0.05133280 ,0.69866719 ,0.00000000 
