,zsmk_std_total,zsmk_year_rate,zsmk_maxdown,nofee_zsmk_std_total,nofee_zsmk_year_rate,nofee_zsmk_maxdown
0,0.0001918886115775667,0.028877267673155675,0.0,0.0001918886115775667,0.028877267673155675,0.0
1,0.00019188861157759722,0.028877267673155675,0.0,0.00019188861157759722,0.028877267673155675,0.0
2,0.00019188861157774654,0.02887726767315418,0.0,0.00019188861157774654,0.02887726767315418,0.0
3,0.00019188861157778744,0.02887726767315309,0.0,0.00019188861157778744,0.02887726767315309,0.0
4,0.00019188861157767463,0.0288772676731549,0.0,0.00019188861157767463,0.0288772676731549,0.0
5,0.0001918886115774173,0.02887726767315309,0.0,0.0001918886115774173,0.02887726767315309,0.0
6,0.09708176804292577,0.06296099917137625,0.04921794452275527,0.09566694901486177,0.08922531575672742,0.04909280818534131
7,0.11160211575677106,0.06723076699856652,0.056804089744876725,0.10994557734519779,0.09734979391997045,0.05663866622114632
8,0.11341994362399797,0.06775034060396821,0.057750200851036715,0.11173257622549737,0.09835054765604968,0.057579360613172786
9,0.1061523678736268,0.06565318289677007,0.053962884002513686,0.10458749431523526,0.09432779121004503,0.053813204292581754
10,0.09708176804292581,0.06296099917137857,0.04921794452275538,0.09566694901486139,0.0892253157567288,0.04909280818534078
11,0.08079265129705668,0.057917006092403404,0.04064669376595997,0.07963948050349012,0.07983357631586802,0.04056034081249798
12,0.06995966856834984,0.05441287096076352,0.034910730811764025,0.0689749930822834,0.07342435700168932,0.03484633658466988
13,0.12980886674927705,0.07228503059916844,0.06624372825134056,0.12783780666902583,0.10720927222448533,0.0660203677179943
14,0.08983620374995596,0.06075066289658803,0.045413329738902795,0.08853900415507775,0.08508411145593797,0.045306291092005124
15,0.00019188861157767463,0.0288772676731549,0.0,0.00019188861157767463,0.0288772676731549,0.0
16,0.07176372404153653,0.05500475313344591,0.03586793982398439,0.07075129201767101,0.07450078579437024,0.0358001040073052
17,0.1480803738151202,0.07702490968361539,0.07563587801862096,0.1457807267723643,0.11673972910717238,0.07534629176540054
18,0.09889466747364441,0.0635057235459991,0.05016789377758219,0.09745010800193764,0.09025239121458128,0.05003801906500446
19,0.08802630953430281,0.06019021918607999,0.04446096976880507,0.08675818086714258,0.08404058481607257,0.0443582408700858
20,0.06815618446755277,0.05381784494183529,0.03395303485948887,0.06719913587134074,0.07234463799370229,0.033891994599281494
21,0.06995966856834987,0.05441287096076212,0.03491073081176375,0.06897499308228326,0.07342435700168892,0.03484633658466994
22,0.1261624112025915,0.07129932866932447,0.06435961115135949,0.12425536968414645,0.10526369830656392,0.06414850558914009
23,0.15174265335508486,0.07793515930493145,0.07750864084302692,0.14937557062437223,0.11860633785897297,0.07720482702827333
24,0.10796833020409385,0.06618218814503528,0.05491043168388909,0.10637303837609416,0.0953384156970303,0.05475558856635349
25,0.0001918886115774173,0.02887726767315309,0.0,0.0001918886115774173,0.02887726767315309,0.0
26,0.09708176804292577,0.06296099917137625,0.04921794452275527,0.09566694901486177,0.08922531575672742,0.04909280818534131
27,0.11887719553663754,0.06929019855149986,0.06058566682375773,0.11709651434657489,0.10133306778291944,0.06039807210111042
28,0.11341994362399797,0.06775034060396821,0.057750200851036715,0.11173257622549737,0.09835054765604968,0.057579360613172786
29,0.12069754337843501,0.06979719687625466,0.06152986757271233,0.11888548085156696,0.10232066076294305,0.061336520379012736
30,0.09708176804292581,0.06296099917137857,0.04921794452275538,0.09566694901486139,0.0892253157567288,0.04909280818534078
31,0.1097849120534774,0.06670804944272411,0.05585750014352422,0.10815906538626513,0.09634574986353878,0.05569740904060659
32,0.14991117681409433,0.07748160636592535,0.07657249490800958,0.1475778841645318,0.11767467853878684,0.07627583555556426
33,0.1554076365551428,0.07883283354153543,0.07937952127008131,0.15297253882716438,0.12045978574979432,0.07906115498921883
34,0.11705748119107742,0.06878005648456618,0.05964098902830397,0.11530804274207994,0.1003421846925093,0.05945906304946273
35,0.07356835314248526,0.05559349135422292,0.03682466226743349,0.07252803460847232,0.07557392426534262,0.036753297385906415
36,0.09889466747364377,0.06350572354599937,0.05016789377758233,0.09745010800193761,0.09025239121458088,0.0500380190650044
37,0.14991117681409494,0.07748160636592621,0.07657249490800952,0.14757788416453188,0.11767467853878566,0.07627583555556432
38,0.14625024196856506,0.07656506905218725,0.07469878981938154,0.14398409640939647,0.11580148935643188,0.07441619516507825
39,0.0807926512970559,0.05791700609240556,0.04064669376595922,0.07963948050348997,0.07983357631586839,0.04056034081249811
40,0.10070817486637566,0.06404730417917472,0.05111736198785503,0.09923374005336125,0.09127617656272984,0.05098266360702213
41,0.10433702274999387,0.06512103380226111,0.05301485673557394,0.10280243122743173,0.09331387650775369,0.05287025571288226
42,0.14991117681409494,0.07748160636592621,0.07657249490800952,0.14757788416453188,0.11767467853878566,0.07627583555556432
43,0.15174265335508486,0.07793515930493145,0.07750864084302692,0.14937557062437223,0.11860633785897297,0.07720482702827333
44,0.14625024196856548,0.07656506905218846,0.07469878981938165,0.1439840964093964,0.11580148935643288,0.07441619516507822
45,0.0001918886115774173,0.02887726767315309,0.0,0.0001918886115774173,0.02887726767315309,0.0
46,0.11523839799488785,0.06826677046738931,0.058695833824727206,0.11352006403005134,0.09934801128193398,0.058519492721280444
47,0.14808037381511976,0.07702490968361583,0.07563587801862079,0.14578072677236362,0.11673972910717174,0.07534629176540068
48,0.1097849120534774,0.06670804944272411,0.05585750014352422,0.10815906538626513,0.09634574986353878,0.05569740904060659
49,0.12616241120259147,0.07129932866932337,0.06435961115135919,0.12425536968414723,0.1052636983065625,0.06414850558914023
