,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10
0,1000.1919,1000.3171640335561,1000.5798973366893,1000.8914879225192,1000.9906762689723,1001.1668205982753,1001.3366385143852,1001.4269490658127,1001.5623520035961,1001.653604349487,1001.7490218718373,1001.8585531098888,1001.9667738707956,1002.0771906092764,1002.1825890881844,1002.309014421798,1002.388317111019,1002.4674155731224,1002.5447358848854,1002.7587090078656,1002.8662548794065,1002.9527721512152,1003.0351145738084,1003.1185169435852,1003.2961892953064,1003.4168657609547,1003.5163043723517,1003.607714672517,1003.6991433353236,1003.8833622760916,1004.00054558097,1004.092381510874,1004.1915657563196,1004.2915531105223,1004.461529455886,1004.5694287133804,1004.6794692486017,1004.7897629607356,1004.9004104094327,1005.0102962693112,1005.1201941452084,1005.2342953896476,1005.3457557683203,1005.4561728926764,1005.5702217863676,1005.6823026432879,1005.7918817869839,1005.8981537572135,1006.0059055674443,1006.1144435445958,1006.2237276954536,1006.3307194644194,1006.437511280369,1006.5518023241499,1006.6633987224736,1006.77500749349,1006.8865782998204,1006.996147697271,1007.1059807671004,1007.218474505152,1007.3327434410847,1007.4471865140672,1007.558267640852,1007.6693610154422,1007.7842252459044,1007.89910256974,1008.0139929884419,1008.1288965035028,1008.2438131164153,1008.3608803055562,1008.4798971402588,1008.5976472530488,1008.7094402162704,1008.8211043513022,1008.9540568846446,1009.0654555020653,1009.1959579374252,1009.3061015842746,1009.4239481646956,1009.5797830338133,1009.6893931108573,1009.7967836747084,1009.9056195720532,1010.0161335440027,1010.0161335440027,1010.1312450827428,1010.2452080898128,1010.3585070899004,1010.4779314654384,1010.4779314654384,1010.5935705599153,1010.7087782269592,1010.8229984259864,1010.9366553639296
1,2000.3838,2000.6343280671122,2001.1597946733787,2001.7829758450384,2001.9813525379445,2002.3336411965506,2002.6732770287704,2002.8538981316253,2003.1247040071921,2003.307208698974,2003.4980437436745,2003.7171062197767,2003.9335477415912,2004.1543812185525,2004.3651781763688,2004.618028843596,2004.776634222038,2004.9348311462445,2005.0894717697709,2005.517418015731,2005.732509758813,2005.9055443024301,2006.0702291476168,2006.2370338871704,2006.5923785906127,2006.8337315219092,2007.0326087447033,2007.215429345034,2007.3982866706478,2007.766724552183,2008.00109116194,2008.1847630217483,2008.3831315126401,2008.5831062210445,2008.923058911772,2009.1388574267605,2009.358938497203,2009.5795259214715,2009.8008208188653,2010.0205925386224,2010.2403882904168,2010.4685907792953,2010.691511536641,2010.9123457853527,2011.1404435727359,2011.3646052865759,2011.5837635739679,2011.796307514428,2012.0118111348886,2012.2288870891919,2012.4474553909072,2012.6614389288388,2012.875022560738,2013.1036046482998,2013.3267974449475,2013.55001498698,2013.7731565996407,2013.992295394542,2014.2119615342008,2014.4369490103045,2014.6654868821693,2014.8943730281344,2015.1165352817045,2015.3387220308844,2015.5684504918088,2015.79820513948,2016.0279859768839,2016.2577930070056,2016.4876262328305,2016.7217606111124,2016.9597942805174,2017.195294506097,2017.4188804325408,2017.6422087026044,2017.9081137692885,2018.130911004131,2018.3919158748504,2018.6122031685493,2018.8478963293912,2019.1595660676267,2019.3787862217146,2019.593567349417,2019.8112391441061,2020.0322670880055,2020.0322670880055,2020.2624901654856,2020.4904161796255,2020.7170141798008,2020.9558629308767,2020.9558629308767,2021.1871411198306,2021.4175564539185,2021.645996851973,2021.8733107278588
2,5000.9595,5001.585820167779,5002.899486683447,5004.457439612595,5004.953381344861,5005.834102991375,5006.683192571926,5007.134745329065,5007.811760017979,5008.268021747435,5008.745109359187,5009.292765549444,5009.833869353979,5010.3859530463815,5010.912945440923,5011.54507210899,5011.941585555095,5012.337077865613,5012.723679424427,5013.793545039327,5014.331274397033,5014.763860756075,5015.175572869043,5015.592584717927,5016.480946476532,5017.0843288047745,5017.581521861759,5018.038573362584,5018.495716676619,5019.416811380458,5020.002727904851,5020.461907554372,5020.957828781599,5021.457765552613,5022.307647279432,5022.847143566904,5023.397346243009,5023.948814803679,5024.502052047165,5025.051481346557,5025.600970726042,5026.171476948239,5026.728778841602,5027.280864463382,5027.851108931838,5028.41151321644,5028.95940893492,5029.490768786069,5030.029527837221,5030.57221772298,5031.118638477269,5031.653597322098,5032.1875564018455,5032.75901162075,5033.316993612369,5033.87503746745,5034.432891499102,5034.980738486355,5035.5299038355015,5036.09237252576,5036.663717205423,5037.235932570336,5037.791338204261,5038.34680507721,5038.92112622952,5039.495512848699,5040.069964942209,5040.644482517512,5041.219065582074,5041.804401527779,5042.399485701291,5042.9882362652415,5043.547201081349,5044.105521756509,5044.770284423222,5045.327277510325,5045.979789687125,5046.530507921371,5047.1197408234775,5047.898915169065,5048.446965554284,5048.98391837354,5049.528097860262,5050.080667720011,5050.080667720011,5050.656225413711,5051.226040449062,5051.792535449498,5052.389657327189,5052.389657327189,5052.967852799573,5053.543891134792,5054.114992129929,5054.683276819645
3,10001.919,10003.17164033556,10005.798973366896,10008.91487922519,10009.906762689721,10011.66820598275,10013.366385143852,10014.26949065813,10015.623520035959,10016.53604349487,10017.490218718374,10018.585531098888,10019.667738707958,10020.771906092763,10021.825890881846,10023.09014421798,10023.88317111019,10024.674155731225,10025.447358848854,10027.587090078654,10028.662548794066,10029.52772151215,10030.351145738086,10031.185169435854,10032.961892953064,10034.168657609549,10035.163043723518,10036.07714672517,10036.991433353238,10038.833622760916,10040.005455809702,10040.923815108745,10041.915657563199,10042.915531105225,10044.615294558864,10045.694287133803,10046.794692486015,10047.897629607358,10049.00410409433,10050.102962693114,10051.201941452084,10052.342953896476,10053.457557683205,10054.561728926765,10055.702217863676,10056.82302643288,10057.91881786984,10058.981537572135,10060.059055674445,10061.14443544596,10062.237276954538,10063.307194644196,10064.375112803691,10065.5180232415,10066.633987224737,10067.7500749349,10068.865782998204,10069.96147697271,10071.059807671003,10072.18474505152,10073.327434410843,10074.471865140673,10075.582676408521,10076.69361015442,10077.84225245904,10078.991025697398,10080.139929884417,10081.288965035024,10082.438131164148,10083.608803055558,10084.798971402584,10085.976472530483,10087.094402162698,10088.211043513018,10089.540568846443,10090.65455502065,10091.95957937425,10093.061015842744,10094.239481646951,10095.79783033813,10096.893931108569,10097.96783674708,10099.056195720525,10100.161335440022,10100.161335440022,10101.312450827421,10102.452080898123,10103.585070898996,10104.779314654375,10104.779314654375,10105.935705599144,10107.087782269582,10108.229984259857,10109.36655363929
4,15002.8785,15004.75746050334,15008.698460050342,15013.372318837786,15014.860144034585,15017.502308974128,15020.049577715776,15021.40423598719,15023.435280053936,15024.804065242302,15026.235328077557,15027.878296648327,15029.501608061932,15031.157859139143,15032.73883632277,15034.635216326968,15035.824756665283,15037.011233596832,15038.171038273282,15041.380635117981,15042.993823191096,15044.291582268224,15045.526718607129,15046.777754153782,15049.442839429597,15051.252986414322,15052.744565585275,15054.115720087757,15055.487150029856,15058.250434141371,15060.00818371455,15061.385722663113,15062.873486344799,15064.373296657834,15066.922941838291,15068.541430700703,15070.192038729023,15071.846444411036,15073.506156141497,15075.154444039668,15076.802912178126,15078.514430844714,15080.186336524806,15081.842593390149,15083.553326795514,15085.234539649318,15086.878226804758,15088.472306358202,15090.08858351166,15091.716653168936,15093.355915431805,15094.960791966292,15096.562669205534,15098.277034862249,15099.950980837104,15101.625112402351,15103.298674497308,15104.942215459065,15106.589711506504,15108.27711757728,15109.99115161627,15111.707797711006,15113.374014612784,15115.040415231631,15116.763378688565,15118.486538546102,15120.20989482663,15121.933447552541,15123.657196746228,15125.41320458334,15127.198457103877,15128.964708795733,15130.641603244052,15132.316565269532,15134.310853269668,15135.981832530977,15137.939369061376,15139.591523764117,15141.359222470432,15143.696745507195,15145.34089666286,15146.951755120625,15148.584293580794,15150.242003160041,15150.24200316004,15151.96867624114,15153.678121347193,15155.3776063485,15157.168971981573,15157.168971981573,15158.903558398726,15160.631673404385,15162.344976389795,15164.04983045894
5,20003.838,20006.34328067112,20011.597946733797,20017.82975845038,20019.813525379443,20023.3364119655,20026.732770287705,20028.53898131626,20031.247040071918,20033.07208698974,20034.980437436752,20037.171062197776,20039.33547741592,20041.543812185526,20043.651781763692,20046.18028843596,20047.76634222038,20049.34831146245,20050.89471769771,20055.174180157308,20057.32509758813,20059.0554430243,20060.702291476173,20062.370338871708,20065.92378590613,20068.337315219098,20070.32608744704,20072.15429345034,20073.982866706483,20077.667245521832,20080.010911619403,20081.84763021749,20083.831315126397,20085.83106221045,20089.230589117728,20091.38857426761,20093.58938497204,20095.79525921472,20098.00820818866,20100.205925386228,20102.403882904167,20104.685907792955,20106.91511536641,20109.12345785353,20111.404435727352,20113.64605286576,20115.83763573968,20117.963075144275,20120.118111348893,20122.28887089192,20124.474553909084,20126.614389288392,20128.750225607382,20131.036046483,20133.267974449474,20135.5001498698,20137.731565996408,20139.92295394542,20142.119615342006,20144.36949010304,20146.65486882169,20148.943730281346,20151.165352817043,20153.38722030884,20155.68450491808,20157.9820513948,20160.279859768834,20162.57793007005,20164.876262328296,20167.217606111117,20169.597942805165,20171.952945060966,20174.1888043254,20176.42208702604,20179.081137692887,20181.3091100413,20183.9191587485,20186.122031685485,20188.478963293903,20191.59566067626,20193.787862217137,20195.93567349416,20198.11239144105,20200.322670880043,20200.322670880043,20202.624901654843,20204.904161796247,20207.170141798,20209.558629308754,20209.558629308754,20211.87141119829,20214.175564539168,20216.45996851972,20218.733107278582
6,29856.0,29742.01101017932,29938.610320354936,30019.837116267914,29978.841881178574,29922.201113252653,30107.82349866709,30071.29371166813,30176.392944318188,30238.62588803932,30216.727104526508,30156.418474714486,30309.000167341317,30369.158612603067,30339.436860555215,30411.805690068613,30325.98657065766,30176.674675084185,30154.492694332384,30186.96724972584,30208.823865893184,30255.22055943281,30239.299686883813,30059.855651388374,30016.918844833795,30032.282184527183,29970.349805535323,30025.03392070927,30018.316158790098,29895.70472894865,29998.10949336432,30025.446347367706,29963.03693184,30018.43363416813,30028.67346290793,30040.10242872101,30069.296204271202,30109.532353519786,30055.408810770186,30241.75860118848,30372.740183397094,30376.995792502723,30318.601617504464,30276.34873259636,30282.920555611767,30341.427216641,30348.38849995061,30347.655615671567,30317.174376860825,30343.440169031226,30339.35684422936,30349.528331612906,30354.197882329023,30344.410180335737,30341.54652551,30360.54278350416,30317.257049450014,30381.122114045225,30327.88937805275,30430.677242301783,30396.566697070342,30425.67656640266,30369.11483163492,30369.11483163492,30398.70503415564,30398.70503415564,30398.70503415564,30398.70503415564,30398.70503415564,30545.2454913604,30519.574468187715,30592.4883603657,30633.961204302217,30640.175471040016,30602.55326615512,30582.05445948476,30695.00724536315,30673.9191732098,30625.189522371915,30619.768452353637,30720.687898098287,30757.99846976939,30787.553584866502,30843.69690284435,30695.647157710697,30636.5300265674,30596.297806520368,30584.46657196584,30548.839071740967,30402.204644196605,30514.627459652016,30251.2320216449,30306.752902076154,30444.43824123063
7,49759.99999999999,49576.1576022066,49843.32964325169,49965.945837530046,49883.95742793211,49714.70163924783,50034.12193362924,50004.17603086237,50156.978638982735,50208.97345711868,50258.24395226517,50163.14921150017,50350.282117054914,50431.713651513426,50435.47108878464,50551.19257153855,50434.66248514216,50175.5341752977,50191.426907523484,50221.933915320595,50239.71761693777,50287.87924139274,50263.445513931736,49978.820932955976,49957.65874802421,49933.5824387483,49823.43063445533,49930.528067302206,49964.61377563532,49865.903703263066,49989.302244685336,49993.58370731712,49912.18552746487,50020.4228775054,50058.692210167465,50038.69317884637,50062.25225014443,50139.00505947454,50074.82454133665,50301.52691079672,50484.75498558093,50542.23527298202,50386.61930232254,50325.18388267854,50360.2597996062,50493.230239020624,50472.870168026064,50495.04967489743,50451.2419034353,50487.87616981455,50466.003827945584,50443.20788311962,50454.299046518914,50436.603984142675,50455.028265267625,50450.61827079363,50387.794682072265,50481.00826790581,50365.03490478418,50541.342052839456,50491.25454955417,50590.54725573258,50445.16202981895,50445.16202981895,50475.08313434054,50475.08313434054,50475.08313434054,50475.08313434054,50475.08313434054,50652.60525101742,50608.001606879334,50702.03018248567,50774.24467264955,50776.522336806134,50752.61430010899,50698.78359706199,50832.826387611036,50795.36998506162,50717.28932274081,50681.03591811362,50829.17182709027,50843.96846088512,50890.36246447424,50933.632470898134,50689.151035037816,50613.46452361984,50548.02774497378,50538.321834851435,50487.57513741111,50245.23477675153,50422.05822759117,50334.82776719998,50410.29273724586,50604.44586513419
8,100019.19,100031.7164033556,100057.98973366896,100089.14879225193,100099.06762689725,100116.68205982754,100133.66385143851,100142.69490658132,100156.23520035963,100165.36043494873,100174.90218718378,100185.8553109889,100196.6773870796,100207.71906092766,100218.25890881848,100230.90144217985,100238.83171110193,100246.74155731227,100254.47358848859,100275.87090078658,100286.62548794068,100295.27721512152,100303.5114573809,100311.85169435856,100329.61892953068,100341.68657609553,100351.6304372352,100360.77146725172,100369.9143335324,100388.33622760918,100400.05455809704,100409.23815108744,100419.15657563203,100429.15531105225,100446.15294558863,100456.94287133806,100467.94692486018,100478.9762960736,100490.04104094332,100501.02962693117,100512.01941452084,100523.4295389648,100534.57557683207,100545.61728926767,100557.02217863679,100568.23026432883,100579.18817869843,100589.8153757214,100600.59055674443,100611.44435445961,100622.37276954539,100633.07194644195,100643.75112803694,100655.18023241502,100666.33987224741,100677.50074934904,100688.65782998207,100699.61476972712,100710.59807671006,100721.84745051524,100733.27434410847,100744.71865140671,100755.82676408523,100766.93610154424,100778.42252459042,100789.91025697405,100801.39929884423,100812.88965035028,100824.38131164157,100836.08803055565,100847.9897140259,100859.7647253049,100870.94402162707,100882.11043513023,100895.4056884645,100906.54555020656,100919.59579374256,100930.6101584275,100942.3948164696,100957.97830338137,100968.93931108578,100979.6783674709,100990.56195720533,101001.61335440034,101001.61335440034,101013.12450827434,101024.52080898137,101035.8507089901,101047.7931465439,101047.7931465439,101059.3570559916,101070.87782269597,101082.29984259873,101093.66553639305
9,199040.0,198304.6304088264,199373.31857300675,199863.78335012015,199535.82971172844,198858.8065569913,200136.48773451697,200016.70412344948,200627.91455593094,200835.89382847468,201032.97580906068,200652.59684600067,201401.1284682197,201726.8546060537,201741.88435513846,202204.7702861542,201738.64994056863,200702.1367011908,200765.707630094,200887.73566128238,200958.87046775108,201151.51696557095,201053.78205572692,199915.2837318239,199830.63499209684,199734.3297549932,199293.72253782128,199722.1122692088,199858.45510254128,199463.61481305226,199957.20897874128,199974.33482926848,199648.74210985948,200081.6915100216,200234.76884066986,200154.77271538548,200249.00900057773,200556.02023789816,200299.29816534652,201206.10764318687,201939.0199423237,202168.94109192808,201546.4772092901,201300.73553071416,201441.0391984248,201972.9209560825,201891.48067210426,201980.19869958967,201804.9676137412,201951.5046792582,201864.0153117823,201772.83153247848,201817.19618607566,201746.4159365707,201820.1130610705,201802.47308317453,201551.17872828906,201924.03307162324,201460.13961913672,202165.36821135785,201965.01819821668,202362.1890229303,201780.64811927575,201780.64811927575,201900.33253736206,201900.33253736206,201900.33253736206,201900.33253736206,201900.33253736206,202610.42100406968,202432.00642751734,202808.12072994266,203096.9786905982,203106.08934722454,203010.45720043595,202795.134388248,203331.30555044414,203181.47994024647,202869.1572909632,202724.1436724545,203316.68730836108,203375.87384354047,203561.44985789686,203734.52988359254,202756.6041401513,202453.85809447925,202192.1109798951,202153.28733940574,201950.30054964442,200980.9391070061,201688.2329103646,201339.31106879987,201641.17094898343,202417.78346053677
