,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
0,1000.1107199999999,1000.218802,1000.326516,1000.43292,1000.5362650000001,1000.641381,1000.7454779999999,1000.8469539999999,1000.946938,1001.0464820000001,1001.1463570000001,1001.252298,1001.351112,1001.451107,1001.552433,1001.651697,1001.7575619999999,1001.8599619999999,1001.960809,1002.0593119999999,1002.1580539999999,1002.2579800000001,1002.358516,1002.4585619999999,1002.558156,1002.6563160000001,1002.754877,1002.855915,1002.957103,1003.053949,1003.1507230000001,1003.247126,1003.342595,1003.4416150000001,1003.538367,1003.635911,1003.732752,1003.8233789999999,1003.9153689999999,1004.0157,1004.114365,1004.2101880000001,1004.308439,1004.407314,1004.505665,1004.608326,1004.706295,1004.806726,1004.904734,1005.00227,1005.116961,1005.2172619999999,1005.314155,1005.429494,1005.527836,1005.6245970000001,1005.7243550000001,1005.8241939999999,1005.928659,1006.032259,1006.1410720000001,1006.2551480000001,1006.3684720000001,1006.48181,1006.5853060000001,1006.689317,1006.793308,1006.897309,1007.000718,1007.104469,1007.208301,1007.313101,1007.424954,1007.5321439999999,1007.6376119999999,1007.7436460000001,1007.8494789999999,1007.9584070000001,1008.061138,1008.1616119999999,1008.2637890000001,1008.374133,1008.473126,1008.57242,1008.57242,1008.674588386146,1008.7792081144536,1008.887571176989,1008.9946948592966,1008.9946948592966,1009.0949889319656,1009.1929720553908,1009.2832342748115,1009.375502948089,1009.375502948089,1009.4724938401672,1009.5639722375593,1009.6557718895548,1009.7583327228633
1,2000.2214399999998,2000.437604,2000.6530309999998,2000.865841,2001.0725300000001,2001.282763,2001.4909559999999,2001.693907,2001.893876,2002.0929649999998,2002.2927140000002,2002.504596,2002.702223,2002.9022129999998,2003.1048670000002,2003.303395,2003.5151239999998,2003.719923,2003.921618,2004.118623,2004.316109,2004.515959,2004.717032,2004.917123,2005.116312,2005.3126329999998,2005.509755,2005.71183,2005.914206,2006.1078969999999,2006.3014469999998,2006.494252,2006.68519,2006.8832300000001,2007.076734,2007.271822,2007.4655030000001,2007.646757,2007.8307379999999,2008.0314010000002,2008.22873,2008.420375,2008.616879,2008.814627,2009.01133,2009.2166510000002,2009.41259,2009.6134510000002,2009.809469,2010.004541,2010.233923,2010.4345239999998,2010.62831,2010.858989,2011.055671,2011.2491949999999,2011.448711,2011.6483870000002,2011.8573170000002,2012.064518,2012.282143,2012.5102960000002,2012.7369449999999,2012.963619,2013.1706120000001,2013.3786329999998,2013.586615,2013.7946190000002,2014.0014350000001,2014.208938,2014.4166030000001,2014.626203,2014.849907,2015.0642870000001,2015.2752239999998,2015.487291,2015.6989579999997,2015.9168149999998,2016.122277,2016.3232239999998,2016.5275780000002,2016.7482670000002,2016.946251,2017.14484,2017.14484,2017.349176772292,2017.558416228907,2017.775142353978,2017.9893897185927,2017.9893897185927,2018.1899778639304,2018.3859441107813,2018.5664685496224,2018.7510058961773,2018.7510058961773,2018.944987680334,2019.1279444751176,2019.311543779109,2019.5166654457255
2,5000.5536,5001.09401,5001.632578,5002.1646009999995,5002.681325,5003.206907,5003.72739,5004.234768,5004.734691,5005.2324119999985,5005.731784000001,5006.261490999998,5006.755559,5007.255533,5007.762167,5008.258487,5008.787809,5009.299808,5009.8040439999995,5010.296558,5010.790272,5011.289898,5011.7925810000015,5012.292808,5012.790779,5013.281581,5013.7743869999995,5014.279575,5014.785516,5015.269743,5015.753617,5016.235631000001,5016.712976,5017.208075,5017.691834,5018.179554,5018.663758,5019.116893,5019.576845000001,5020.078501,5020.571825,5021.050938,5021.542197,5022.0365679999995,5022.528326,5023.041628,5023.531475,5024.033628,5024.523672,5025.011352,5025.584806,5026.0863100000015,5026.570774,5027.147472,5027.639178,5028.122987,5028.621777,5029.120969,5029.643293,5030.161296,5030.705358,5031.27574,5031.8423619999985,5032.4090479999995,5032.926531,5033.446583,5033.9665380000015,5034.4865469999995,5035.003588000001,5035.522345,5036.041507,5036.565507,5037.124768,5037.660718,5038.18806,5038.718229,5039.247395,5039.792037,5040.305692,5040.808059,5041.318945,5041.870667,5042.365628000001,5042.862099,5042.862099,5043.372940930629,5043.896039572061,5044.437854884633,5044.973473296065,5044.973473296065,5045.474943659311,5045.964859276341,5046.416170373353,5046.877513739651,5046.877513739651,5047.362468199945,5047.819860186814,5048.2788584467,5048.791662613141
3,10001.1072,10002.18802,10003.265159999999,10004.3292,10005.36265,10006.41381,10007.45478,10008.46954,10009.46938,10010.464820000001,10011.46357,10012.52298,10013.511120000001,10014.51107,10015.52433,10016.51697,10017.57562,10018.59962,10019.60809,10020.59312,10021.58054,10022.5798,10023.585159999999,10024.58562,10025.581559999999,10026.56316,10027.54877,10028.55915,10029.57103,10030.539490000001,10031.50723,10032.47126,10033.42595,10034.41615,10035.383670000001,10036.35911,10037.32752,10038.23379,10039.153690000001,10040.157,10041.14365,10042.10188,10043.08439,10044.07314,10045.05665,10046.08326,10047.06295,10048.06726,10049.047340000001,10050.0227,10051.169609999999,10052.172620000001,10053.14155,10054.29494,10055.27836,10056.24597,10057.24355,10058.24194,10059.28659,10060.32259,10061.41072,10062.55148,10063.684720000001,10064.8181,10065.85306,10066.893170000001,10067.933079999999,10068.973090000001,10070.00718,10071.04469,10072.08301,10073.13101,10074.24954,10075.32144,10076.37612,10077.436459999999,10078.49479,10079.58407,10080.61138,10081.61612,10082.63789,10083.741329999999,10084.731259999999,10085.7242,10085.7242,10086.74588386146,10087.792081144536,10088.875711769893,10089.946948592968,10089.946948592968,10090.949889319658,10091.929720553911,10092.832342748117,10093.755029480892,10093.755029480892,10094.724938401674,10095.639722375592,10096.557718895549,10097.583327228636
4,15001.6608,15003.28203,15004.89773,15006.4938,15008.043969999999,15009.620719999999,15011.182169999998,15012.7043,15014.204069999998,15015.697240000001,15017.19535,15018.784469999999,15020.26668,15021.7666,15023.2865,15024.775459999999,15026.363430000001,15027.899419999998,15029.41213,15030.889669999999,15032.370819999998,15033.869690000001,15035.37774,15036.87842,15038.37234,15039.84474,15041.32316,15042.838719999998,15044.35655,15045.80923,15047.26085,15048.706890000001,15050.138930000001,15051.62422,15053.0755,15054.53866,15055.991269999999,15057.350680000001,15058.73053,15060.2355,15061.71547,15063.15281,15064.62659,15066.1097,15067.584980000001,15069.124890000001,15070.594430000001,15072.100880000002,15073.57102,15075.03406,15076.75442,15078.258930000002,15079.712319999999,15081.44242,15082.91753,15084.36896,15085.86533,15087.36291,15088.929880000005,15090.483890000001,15092.116069999998,15093.82722,15095.527090000001,15097.22714,15098.77959,15100.33975,15101.899609999999,15103.459640000001,15105.010769999999,15106.567030000002,15108.12452,15109.69652,15111.3743,15112.98215,15114.564180000001,15116.154690000001,15117.742180000001,15119.37611,15120.917080000001,15122.424180000002,15123.95684,15125.612,15127.096880000001,15128.5863,15128.5863,15130.118825792193,15131.688121716805,15133.313567654837,15134.92042288945,15134.92042288945,15136.424833979485,15137.894580830864,15139.248514122173,15140.632544221335,15140.632544221335,15142.087407602507,15143.459583563385,15144.836578343318,15146.374990842949
5,20002.2144,20004.37604,20006.53031,20008.65841,20010.7253,20012.82763,20014.90956,20016.93907,20018.93876,20020.92965,20022.92714,20025.04596,20027.022230000002,20029.02213,20031.04867,20033.03395,20035.15124,20037.199230000002,20039.21618,20041.186230000007,20043.16109,20045.15959,20047.170319999997,20049.17123,20051.163119999997,20053.126330000006,20055.09755,20057.1183,20059.14206,20061.07897,20063.01447,20064.94252,20066.8519,20068.8323,20070.767340000002,20072.71822,20074.65503,20076.467569999997,20078.307380000002,20080.31401,20082.2873,20084.20375,20086.16879,20088.146269999997,20090.1133,20092.16651,20094.1259,20096.13451,20098.09469,20100.04541,20102.33923,20104.345240000002,20106.2831,20108.58989,20110.55671,20112.49195,20114.48711,20116.48387,20118.57317,20120.64518,20122.82143,20125.10296,20127.36945,20129.63619,20131.70612,20133.786330000006,20135.86615,20137.946190000002,20140.01435,20142.08938,20144.16603,20146.26203,20148.499069999998,20150.64287,20152.75224,20154.87291,20156.98958,20159.16815,20161.22277,20163.23224,20165.27578,20167.482669999998,20169.46251,20171.4484,20171.4484,20173.49176772292,20175.58416228907,20177.751423539787,20179.89389718593,20179.89389718593,20181.899778639312,20183.85944110782,20185.66468549623,20187.510058961783,20187.510058961783,20189.449876803348,20191.279444751184,20193.115437791097,20195.16665445727
6,30001.64552,29970.60515,29990.33063,29966.890560000003,29950.97499,29994.72127,30060.73573,30123.76743,30159.552069999998,30203.404430000002,30194.133260000002,30202.7463,30237.77318,30248.69018,30229.47587,30249.317489999998,30258.32477,30294.04205,30301.68535,30274.443689999996,30311.17758,30345.928839999997,30354.87455,30338.96277,30336.81162,30397.23368,30425.769739999996,30391.010960000003,30283.305439999996,30204.220980000002,30284.9977,30292.95273,30346.4819,30308.786969999997,30275.306739999996,30296.23767,30349.648760000004,30375.79867,30398.43752,30460.437339999997,30428.44863000001,30420.64837,30443.8613,30443.64357,30441.26745,30402.80147,30361.56285,30376.20328,30376.4209,30364.017519999998,30436.86863,30480.384019999998,30476.83288,30479.37305,30508.407710000003,30558.858630000002,30551.409,30590.80517,30606.45241,30592.2487,30531.687589999998,30551.194639999998,30552.87886,30542.27425,30594.97588,30596.52168,30598.067189999998,30599.612869999997,30601.149719999998,30769.28596,30782.44583,30746.521589999997,30748.92429,30779.12296,30768.50334,30753.219660000002,30858.506189999996,30776.414389999998,30816.05553,30810.9595,30883.10037,30972.208039999998,30950.87755,31080.817460000002,31080.81746,31033.827451424364,31050.055978722638,31019.109720988654,31000.333200925117,31000.33320092512,31126.30777188377,31107.60293473958,31199.287635075456,31281.935509573646,31281.935509573646,31180.758283138413,31058.658401685207,31240.209205664953,31318.630146956835
7,50002.74198,49950.97002,49983.85063,49944.7726,49918.21402,49991.161439999996,50101.25996,50206.37118,50266.04921000001,50339.1681,50323.71031,50338.07019,50396.47995,50414.68515,50382.63939,50415.72431000001,50430.73592,50490.301680000004,50503.05608,50457.620689999996,50518.88082,50576.83656,50591.75092,50565.214739999996,50561.62363,50662.38012,50709.97719,50652.00792,50472.41255,50340.51362,50475.20526,50488.46851,50577.73685,50514.900760000004,50459.06242,50493.968239999995,50583.02906,50626.63855,50664.40163,50767.798389999996,50714.45126,50701.43965,50740.14879,50739.7747,50735.80866,50671.64465,50602.89707,50627.30799,50627.6702,50606.99205,50728.46353,50801.02081,50795.09104,50799.32408,50847.73611000001,50931.874019999996,50919.4414,50985.13867,51011.232939999994,50987.532810000004,50886.527480000004,50919.05472,50921.8612,50904.15415,50992.037860000004,50994.61368,50997.18902,50999.76462,51002.32553,51282.70196000001,51304.650610000004,51244.74425,51248.75353,51299.10552,51345.13401,51312.09862,51463.46615,51219.610089999995,51402.74986,51382.13201,51444.546780000004,51656.29256,51556.06756,51791.39691,51791.39691,51724.487920994216,51827.78381795393,51755.83487617493,51730.34431837629,51730.34431837629,51998.75205801333,51990.65887832184,52196.23664253616,52277.22677535365,52277.22677535365,52094.52176531749,51779.24064332455,52138.34925668981,52302.665351749776
8,100005.484,99901.94005,99967.70127,99889.5452,99836.42804,99982.32289,100202.5199,100412.7424,100532.0984,100678.3362,100647.4206,100676.1404,100792.9599,100829.3703,100765.2788,100831.4486,100861.4718,100980.6034,101006.1122,100915.2414,101037.7616,101153.6731,101183.5018,101130.4295,101123.2473,101324.7602,101419.9544,101304.0158,100944.8251,100681.0272,100950.4105,100976.93699999999,101155.4737,101029.8015,100918.1248,100987.9365,101166.0581,101253.2771,101328.8033,101535.5968,101428.9025,101402.8793,101480.2976,101479.5494,101471.6173,101343.2893,101205.7941,101254.616,101255.3404,101213.9841,101456.9271,101602.0416,101590.1821,101598.6482,101695.4722,101863.748,101838.8828,101970.2773,102022.4659,101975.0656,101773.055,101838.1094,101843.7224,101808.3083,101984.0757,101989.2274,101994.37800000001,101999.5292,102004.6511,102565.4039,102609.3012,102489.4885,102497.5071,102598.211,102690.26800000001,102624.1972,102926.9323,102439.2202,102805.4997,102764.26400000001,102889.0936,103312.5851,103112.1351,103582.7938,103582.7938,103448.97582201424,103655.56761589381,103511.66973236356,103460.68861677613,103460.68861677613,103997.50409594654,103981.31773656668,104392.47326491594,104554.45353051963,104554.45353051963,104189.04351051788,103558.48126665378,104276.69849324561,104605.33068330208
9,200010.9679,199803.8801,199935.4025,199779.0904,199672.8561,199964.6458,200405.0399,200825.4847,201064.1968,201356.6724,201294.8412,201352.2808,201585.9198,201658.7406,201530.5576,201662.8972,201722.9437,201961.2067,202012.2243,201830.4828,202075.5233,202307.3462,202367.0037,202260.8589,202246.4945,202649.5205,202839.9087,202608.0317,201889.6502,201362.0545,201900.82100000003,201953.8741,202310.9474,202059.603,201836.2497,201975.8729,202332.1163,202506.5542,202657.6065,203071.1936,202857.8051,202805.7586,202960.5952,202959.0988,202943.2346,202686.5786,202411.5883,202509.232,202510.6808,202427.9682,202913.8541,203204.0832,203180.3642,203197.2963,203390.9444,203727.4961,203677.7656,203940.5547,204044.9318,203950.1312,203546.1099,203676.2189,203687.4448,203616.6166,203968.1514,203978.4547,203988.7561,203999.0585,204009.3021,205130.8078,205218.6025,204978.97699999998,204995.0141,205196.4221,205121.0562,205017.9663,205732.9995,205182.2687,205443.7494,205414.5379,205906.8753,206510.6412,206372.5982,207247.2682,207247.2682,206931.8636698164,207036.6708177769,206824.9747573723,206698.2548264898,206698.2548264898,207549.3266127876,207420.13360167644,208042.67976569507,208609.76203887752,208609.76203887752,207924.6067552921,207099.43545178886,208328.83053252602,208855.08246197735
