,kmrd_std_total,kmrd_year_rate,kmrd_maxdown,nofee_kmrd_std_total,nofee_kmrd_year_rate,nofee_kmrd_maxdown,betago_std_total,betago_year_rate,betago_maxdown,nofee_betago_std_total,nofee_betago_year_rate,nofee_betago_maxdown,sz_std_total,sz_year_rate,sz_maxdown,nofee_sz_std_total,nofee_sz_year_rate,nofee_sz_maxdown
28,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
29,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
30,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
31,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
32,0.060613916,0.173011978,0.024324814,0.05958525,0.187372634,0.024210201,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
33,0.060613916,0.173011978,0.024324814,0.05958525,0.187372634,0.024210201,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
34,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
35,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
36,0.032052748,0.040110433,0.01191289,0.030715252,0.054471089,0.011856163,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
37,0.069779435,0.177415266,0.025437555,0.068801104,0.191775922,0.02531712,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
38,0.069783572,0.177429538,0.025439646,0.068805251,0.191790194,0.025319201,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
39,0.03206584,0.040183041,0.011914658,0.030728651,0.054543697,0.011857922,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
40,0.03206584,0.040183041,0.011914658,0.030728651,0.054543697,0.011857922,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
41,0.032049314,0.040095052,0.011909915,0.030711731,0.054455708,0.011853201,0.045433141,-0.002121232,0.019846837,0.036347735,0.111332027,0.011991577,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
42,0.069779435,0.177415266,0.025437555,0.068801104,0.191775922,0.02531712,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
43,0.069779446,0.177414158,0.025437796,0.068801116,0.191774814,0.025317359,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
44,0.060612577,0.173013087,0.024323417,0.059583899,0.187373743,0.02420881,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
45,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
46,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
