,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
0,1010.9366553639296,1011.0513562368473,1011.163572826876,1011.2764186816034,1011.3894490469195
1,2021.8733107278588,2022.102712473694,2022.3271456537516,2022.5528373632064,2022.7788980938385
2,5054.683276819645,5055.256781184233,5055.817864134377,5056.382093408014,5056.947245234594
3,10109.366553639291,10110.513562368467,10111.635728268755,10112.76418681603,10113.89449046919
4,15164.04983045894,15165.770343552704,15167.453592403135,15169.146280224048,15170.841735703789
5,20218.733107278586,20221.02712473694,20223.271456537514,20225.528373632063,20227.788980938385
6,31595.97717836584,31422.840036556277,31242.595911014367,31391.029378452455,31256.867136264467
7,52601.34328697079,52388.182369946684,52138.216607471,52313.38223518966,52205.015888749665
8,101093.66553639305,101105.13562368481,101116.35728268768,101127.64186816043,101138.94490469203
9,210405.37314788307,209552.72947978665,208552.8664298839,209253.5289407586,208820.06355499857
10,210405.37314788307,209552.72947978665,208552.8664298839,209253.5289407586,208820.06355499857
11,105202.68657394158,104776.36473989337,104276.433214942,104626.76447037932,104410.03177749933
12,52601.34328697079,52388.182369946684,52138.216607471,52313.38223518966,52205.015888749665
13,31595.97717836584,31422.840036556277,31242.595911014367,31391.029378452455,31256.867136264467
14,21040.537314788315,20955.272947978672,20855.286642988398,20925.352894075866,20882.006355499863
15,15164.04983045894,15165.770343552704,15167.453592403135,15169.146280224048,15170.841735703789
16,10470.774529633856,10427.303324031966,10398.084976922444,10412.755169631053,10401.496286419548
17,5187.135667543759,5127.308548947349,5093.227081283563,5132.399879063831,5066.943501260237
18,2106.398478557723,2094.8560024370854,2082.839727400958,2092.735291896831,2083.7911424176314
19,1010.9366553639296,1011.0513562368473,1011.163572826876,1011.2764186816034,1011.3894490469195
20,1010.9366553639296,1011.0513562368473,1011.163572826876,1011.2764186816034,1011.3894490469195
21,2094.154905926772,2085.4606648063927,2079.6169953844883,2082.55103392621,2080.2992572839094
22,5265.996196394306,5237.140006092712,5207.099318502394,5231.838229742076,5209.477856044077
23,10531.992392788612,10474.280012185423,10414.198637004789,10463.676459484152,10418.955712088155
24,15164.04983045894,15165.770343552704,15167.453592403135,15169.146280224048,15170.841735703789
25,20218.733107278586,20221.02712473694,20223.271456537514,20225.528373632063,20227.788980938385
26,31560.805972182472,31432.909421968012,31282.929964482595,31388.0293411138,31323.0095332498
27,52659.961963943075,52371.40006092714,52070.99318502395,52318.38229742077,52094.77856044079
28,105319.92392788618,104742.8001218543,104141.98637004795,104636.76459484157,104189.55712088161
29,210405.37314788307,209552.72947978665,208552.8664298839,209253.5289407586,208820.06355499857
30,210405.37314788307,209552.72947978665,208552.8664298839,209253.5289407586,208820.06355499857
31,105202.68657394158,104776.36473989337,104276.433214942,104626.76447037932,104410.03177749933
32,51871.35667543756,51273.08548947345,50932.27081283559,51323.998790638274,50669.43501260234
33,31122.81400526254,30763.851293684074,30559.362487701357,30794.399274382966,30401.661007561404
34,21040.537314788315,20955.272947978672,20855.286642988398,20925.352894075866,20882.006355499863
35,15797.98858918292,15711.420018278139,15621.297955507183,15695.514689226227,15628.433568132234
36,10520.268657394157,10477.636473989336,10427.643321494199,10462.676447037933,10441.003177749932
37,5187.135667543759,5127.308548947349,5093.227081283563,5132.399879063831,5066.943501260237
38,2074.8542670175025,2050.923419578938,2037.2908325134238,2052.959951625531,2026.7774005040937
39,1010.9366553639296,1011.0513562368473,1011.163572826876,1011.2764186816034,1011.3894490469195
40,1010.9366553639296,1011.0513562368473,1011.163572826876,1011.2764186816034,1011.3894490469195
41,2094.154905926772,2085.4606648063927,2079.6169953844883,2082.55103392621,2080.2992572839094
42,5265.996196394306,5237.140006092712,5207.099318502394,5231.838229742076,5209.477856044077
43,10374.271335087518,10254.617097894698,10186.454162567126,10264.799758127661,10133.887002520474
44,15561.40700263127,15381.925646842037,15279.681243850679,15397.199637191483,15200.830503780702
45,20218.733107278586,20221.02712473694,20223.271456537514,20225.528373632063,20227.788980938385
46,31595.97717836584,31422.840036556277,31242.595911014367,31391.029378452455,31256.867136264467
47,52659.961963943075,52371.40006092714,52070.99318502395,52318.38229742077,52094.77856044079
48,101093.66553639305,101105.13562368481,101116.35728268768,101127.64186816043,101138.94490469203
49,210639.8478557723,209485.60024370856,208283.9727400958,209273.5291896831,208379.11424176316
50,210639.8478557723,209485.60024370856,208283.9727400958,209273.5291896831,208379.11424176316
51,105202.68657394158,104776.36473989337,104276.433214942,104626.76447037932,104410.03177749933
52,52659.961963943075,52371.40006092714,52070.99318502395,52318.38229742077,52094.77856044079
53,31122.81400526254,30763.851293684074,30559.362487701357,30794.399274382966,30401.661007561404
54,21063.984785577224,20948.560024370847,20828.397274009578,20927.352918968303,20837.91142417631
55,15797.98858918292,15711.420018278139,15621.297955507183,15695.514689226227,15628.433568132234
56,10520.268657394157,10477.636473989336,10427.643321494199,10462.676447037933,10441.003177749932
57,5187.135667543759,5127.308548947349,5093.227081283563,5132.399879063831,5066.943501260237
58,2074.8542670175025,2050.923419578938,2037.2908325134238,2052.959951625531,2026.7774005040937
59,1010.9366553639296,1011.0513562368473,1011.163572826876,1011.2764186816034,1011.3894490469195
60,1010.9366553639296,1011.0513562368473,1011.163572826876,1011.2764186816034,1011.3894490469195
61,2094.154905926772,2085.4606648063927,2079.6169953844883,2082.55103392621,2080.2992572839094
62,5187.135667543759,5127.308548947349,5093.227081283563,5132.399879063831,5066.943501260237
63,10531.992392788612,10474.280012185423,10414.198637004789,10463.676459484152,10418.955712088155
