,2017/11/24,2017/11/27,2017/11/28,2017/11/29,2017/11/30,2017/12/1,2017/12/4,2017/12/5,2017/12/6,2017/12/7,2017/12/8
45,20000,20002.048,20004.10141,20006.20044,20008.30529,20010.41877,20012.51046,20014.57655,20016.62504,20018.6243,20020.67881
46,30000,29794.23518,29916.74584,29945.67657,29831.69148,29836.667,29886.39043,29845.64588,29674.53887,29649.81933,29730.74979
47,50000,49564.05724,49815.41117,49890.86752,49618.64874,49652.98992,49752.25214,49655.84539,49285.3228,49237.77488,49399.49459
48,100000,99300.44818,99711.3131,99806.33615,99420.5873,99437.19889,99604.88695,99474.46195,98897.95356,98808.70818,99087.36009
49,200000,198600.8964,199422.6262,199612.6723,198841.1746,198874.3978,199209.7739,198948.9239,197795.9071,197617.4164,198174.7202
50,200000,199422.3758,199817.7901,199837.2198,199639.2117,199453.7746,199683.4381,199556.8143,199057.7023,198952.4288,199209.107
51,100000,99711.18789,99908.89504,99918.60988,99819.60584,99726.88732,99841.71904,99778.40714,99528.85114,99476.21438,99604.5535
52,50000,49645.72647,49854.09609,49903.26146,49708.49993,49718.69492,49803.22934,49737.92972,49448.70273,49402.59816,49544.00528
53,30000,29737.10187,29887.26289,29931.71792,29767.52499,29787.36538,29847.20287,29790.57938,29567.24396,29537.4693,29635.71005
54,20000,19824.73458,19924.84193,19954.47861,19845.01666,19858.24359,19898.13525,19860.38625,19711.49597,19691.6462,19757.14004
55,15000,14955.9731,14984.15027,14985.99973,14969.20358,14955.76955,14973.49375,14964.33718,14926.95016,14918.006,14937.42642
56,10000,9970.64873,9989.43351,9990.666488,9979.469051,9970.513035,9982.329169,9976.224788,9951.300104,9945.337331,9958.284282
57,5000,4956.183645,4981.210481,4988.619653,4961.254165,4964.560896,4974.533812,4965.096563,4927.873994,4922.91155,4939.285009
58,2000,1982.473458,1992.484193,1995.447861,1984.501666,1985.824359,1989.813525,1986.038625,1971.149597,1969.16462,1975.714004
59,1000,999.2577466,999.0454327,998.928325,999.306309,999.1114672,999.7664649,999.8576514,1000.373785,1000.416752,1000.637224
60,1000,999.2505323,999.031095,998.9128739,999.2900202,999.0941531,999.7547116,999.8458129,1000.367058,1000.409035,1000.629333
61,2000,1998.501065,1998.06219,1997.825748,1998.58004,1998.188306,1999.509423,1999.691626,2000.734116,2000.818069,2001.258666
62,5000,4956.765957,4982.118682,4989.950275,4962.933353,4966.614986,4976.47897,4966.461092,4929.71047,4925.283317,4941.109394
63,10000,9913.531914,9964.237364,9979.900549,9925.866705,9933.229972,9952.957939,9932.922185,9859.420939,9850.566634,9882.218788
64,15000,14988.75799,14985.46642,14983.69311,14989.3503,14986.4123,14996.32067,14997.68719,15005.50587,15006.13552,15009.44
65,20000,20002.048,20004.10141,20006.20044,20008.30529,20010.41877,20012.51046,20014.57655,20016.62504,20018.6243,20020.67881
66,30000,29915.65677,29978.57669,29981.64128,29956.24622,29928.245,29961.60025,29940.81258,29866.72072,29853.82236,29891.03924
67,50000,49564.7572,49816.66305,49892.87239,49620.96239,49655.90858,49755.08799,49657.80516,49287.9399,49240.9963,49401.98794
68,100000,99304.91598,99719.30489,99819.12878,99435.34899,99455.81797,99622.97365,99486.96415,98914.64175,98829.24937,99103.26034
69,200000,198259.0288,199266.6522,199571.4896,198483.8496,198623.6343,199020.352,198631.2206,197151.7596,196963.9852,197607.9518
70,200000,199425.2135,199822.8456,199845.4177,199648.6919,199465.7775,199695.1663,199564.8633,199068.5762,198965.823,199219.4419
71,100000,99925.47153,99903.93229,99892.21423,99929.99136,99910.49504,99976.25643,99985.31736,100037.2161,100041.5023,100063.4966
72,50000,49645.72647,49854.09609,49903.26146,49708.49993,49718.69492,49803.22934,49737.92972,49448.70273,49402.59816,49544.00528
73,30000,29737.10187,29887.26289,29931.71792,29767.52499,29787.36538,29847.20287,29790.57938,29567.24396,29537.4693,29635.71005
74,20000,19941.29746,19978.86702,19981.33298,19958.9381,19941.02607,19964.65834,19952.44958,19902.60021,19890.67466,19916.56856
75,15000,15001.536,15003.07606,15004.65033,15006.22897,15007.81408,15009.38284,15010.93241,15012.46878,15013.96823,15015.50911
76,10000,9992.577466,9990.454327,9989.28325,9993.06309,9991.114672,9997.664649,9998.576514,10003.73785,10004.16752,10006.37224
77,5000,4956.183645,4981.210481,4988.619653,4961.254165,4964.560896,4974.533812,4965.096563,4927.873994,4922.91155,4939.285009
78,2000,1985.829059,1994.163843,1996.130458,1988.339997,1988.747797,1992.129173,1989.517189,1977.948109,1976.103926,1981.760211
79,1000,999.2577466,999.0454327,998.928325,999.306309,999.1114672,999.7664649,999.8576514,1000.373785,1000.416752,1000.637224
80,1000,999.2505323,999.031095,998.9128739,999.2900202,999.0941531,999.7547116,999.8458129,1000.367058,1000.409035,1000.629333
81,2000,1998.501065,1998.06219,1997.825748,1998.58004,1998.188306,1999.509423,1999.691626,2000.734116,2000.818069,2001.258666
82,5000,4965.92875,4986.522891,4991.584723,4972.685661,4973.707783,4981.968904,4974.898921,4946.590887,4942.663614,4955.919978
83,10000,9931.857501,9973.045782,9983.169446,9945.371322,9947.415566,9963.937808,9949.797841,9893.181774,9885.327228,9911.839956
84,15000,14957.82838,14989.28835,14990.82064,14978.12311,14964.1225,14980.80013,14970.40629,14933.36036,14926.91118,14945.51962
85,20000,19863.715,19946.09156,19966.33889,19890.74264,19894.83113,19927.87562,19899.59568,19786.36355,19770.65446,19823.67991
86,30000,29915.65677,29978.57669,29981.64128,29956.24622,29928.245,29961.60025,29940.81258,29866.72072,29853.82236,29891.03924
87,50000,49652.45799,49859.65244,49909.56439,49717.67449,49727.90899,49811.48682,49743.48207,49457.32088,49414.62469,49551.63017
88,100000,99304.91598,99719.30489,99819.12878,99435.34899,99455.81797,99622.97365,99486.96415,98914.64175,98829.24937,99103.26034
89,200000,198609.832,199438.6098,199638.2576,198870.698,198911.6359,199245.9473,198973.9283,197829.2835,197658.4987,198206.5207
90,200000,199427.9757,199827.7592,199853.4274,199657.9654,199477.5365,199706.6893,199572.7626,199079.2928,198979.0229,199229.6287
91,100000,99713.98785,99913.87961,99926.71371,99828.98268,99738.76825,99853.34463,99786.38132,99539.64638,99489.51144,99614.81437
92,50000,49648.03021,49858.14124,49909.69354,49715.96714,49728.09928,49812.34084,49744.23245,49457.12713,49413.01451,49552.05461
93,30000,29737.52184,29888.01402,29932.92084,29768.91319,29789.11657,29848.90438,29791.75524,29568.81422,29539.40215,29637.20606
94,20000,19859.21208,19943.2565,19963.87742,19886.38686,19891.23971,19924.93634,19897.69298,19782.85085,19765.2058,19820.82184
95,15000,15001.536,15003.07606,15004.65033,15006.22897,15007.81408,15009.38284,15010.93241,15012.46878,15013.96823,15015.50911
96,10000,9970.787842,9989.681198,9991.068981,9979.934732,9971.102996,9982.906323,9976.62076,9951.835933,9945.997325,9958.793624
97,5000,4964.803021,4985.814124,4990.969354,4971.596714,4972.809928,4981.234084,4974.423245,4945.712713,4941.301451,4955.205461
98,2000,1985.921208,1994.32565,1996.387742,1988.638686,1989.123971,1992.493634,1989.769298,1978.285085,1976.52058,1982.082184
99,1000,997.0787842,998.9681198,999.1068981,997.9934732,997.1102996,998.2906323,997.662076,995.1835933,994.5997325,995.8793624
