,userid,date,ticker,name,percent
0,1,2017-08-05,070011,070011,0.0
1,1,2017-08-05,070012,070012,0.7284929267276697
2,1,2017-08-05,118001,118001,5.880446118875424e-17
3,1,2017-08-05,160121,160121,0.2715070732723304
4,1,2017-08-05,262001,262001,0.0
5,1,2017-08-05,270042,270042,1.0117937338549804e-17
6,1,2017-08-06,070011,070011,3.0254612998702217e-16
7,1,2017-08-06,070012,070012,0.22304854904151744
8,1,2017-08-06,160121,160121,0.19275655956034196
9,1,2017-08-06,160719,160719,0.3036991332525512
10,1,2017-08-06,262001,262001,0.0
11,1,2017-08-06,630009,630009,0.28049575814558914
12,1,2017-08-15,003524,003524,0.0
13,1,2017-08-15,070011,070011,0.19559756331475392
14,1,2017-08-15,160119,160119,0.0
15,1,2017-08-15,160616,160616,0.0
16,1,2017-08-15,162711,162711,0.8044024366852467
17,1,2017-08-15,270006,270006,8.216404557545155e-17
18,1,2017-08-16,003524,003524,0.0
19,1,2017-08-16,070011,070011,1.249000902703301e-16
20,1,2017-08-16,160119,160119,1.0321604682062002e-16
21,1,2017-08-16,162711,162711,5.551115123125783e-17
22,1,2017-08-16,270006,270006,0.0
23,1,2017-08-16,460007,460007,1.0
24,1,2017-08-19,001897,001897,0.0
25,1,2017-08-19,070011,070011,2.7761813693089065e-16
26,1,2017-08-19,090018,090018,0.20165414648010468
27,1,2017-08-19,166801,166801,0.0
28,1,2017-08-19,270006,270006,0.0
29,1,2017-08-19,519091,519091,0.7983458535198954
30,1,2017-09-04,070011,070011,1.8216211970836586e-17
31,1,2017-09-04,110002,110002,5.847984488380305e-17
32,1,2017-09-04,112002,112002,0.3943411648485934
33,1,2017-09-04,160106,160106,1.0999615434047536e-16
34,1,2017-09-04,160211,160211,0.6056588351514067
35,1,2017-09-04,519003,519003,0.0
36,1,2017-10-27,000020,000020,1.021575461366625e-16
37,1,2017-10-27,040005,040005,0.4589544219029577
38,1,2017-10-27,070011,070011,0.0
39,1,2017-10-27,260110,260110,0.2577686081258936
40,1,2017-10-27,260116,260116,0.0
41,1,2017-10-27,270006,270006,0.2832769699711487
