,基金1,基金2,基金3,C5进取型(81-100)-新客户-男-fix-combination_profit,C5进取型(81-100)-新客户-男-dyn-combination_profit,C5进取型(81-100)-新客户-女-fix-combination_profit,C5进取型(81-100)-新客户-女-dyn-combination_profit,C5进取型(81-100)-增1老客户-男-fix-combination_profit,C5进取型(81-100)-增1老客户-男-dyn-combination_profit,C5进取型(81-100)-增1老客户-女-fix-combination_profit,C5进取型(81-100)-增1老客户-女-dyn-combination_profit,C5进取型(81-100)-增2老客户-男-fix-combination_profit,C5进取型(81-100)-增2老客户-男-dyn-combination_profit,C5进取型(81-100)-增2老客户-女-fix-combination_profit,C5进取型(81-100)-增2老客户-女-dyn-combination_profit,C4成长型(61-80)-新客户-男-fix-combination_profit,C4成长型(61-80)-新客户-男-dyn-combination_profit,C4成长型(61-80)-新客户-女-fix-combination_profit,C4成长型(61-80)-新客户-女-dyn-combination_profit,C4成长型(61-80)-增1老客户-男-fix-combination_profit,C4成长型(61-80)-增1老客户-男-dyn-combination_profit,C4成长型(61-80)-增1老客户-女-fix-combination_profit,C4成长型(61-80)-增1老客户-女-dyn-combination_profit,C4成长型(61-80)-增2老客户-男-fix-combination_profit,C4成长型(61-80)-增2老客户-男-dyn-combination_profit,C4成长型(61-80)-增2老客户-女-fix-combination_profit,C4成长型(61-80)-增2老客户-女-dyn-combination_profit,C3平衡性(41-60)-新客户-男-fix-combination_profit,C3平衡性(41-60)-新客户-男-dyn-combination_profit,C3平衡性(41-60)-新客户-女-fix-combination_profit,C3平衡性(41-60)-新客户-女-dyn-combination_profit,C3平衡性(41-60)-增1老客户-男-fix-combination_profit,C3平衡性(41-60)-增1老客户-男-dyn-combination_profit,C3平衡性(41-60)-增1老客户-女-fix-combination_profit,C3平衡性(41-60)-增1老客户-女-dyn-combination_profit,C3平衡性(41-60)-增2老客户-男-fix-combination_profit,C3平衡性(41-60)-增2老客户-男-dyn-combination_profit,C3平衡性(41-60)-增2老客户-女-fix-combination_profit,C3平衡性(41-60)-增2老客户-女-dyn-combination_profit,C2稳健型(25-40)-新客户-男-fix-combination_profit,C2稳健型(25-40)-新客户-男-dyn-combination_profit,C2稳健型(25-40)-新客户-女-fix-combination_profit,C2稳健型(25-40)-新客户-女-dyn-combination_profit,C2稳健型(25-40)-增1老客户-男-fix-combination_profit,C2稳健型(25-40)-增1老客户-男-dyn-combination_profit,C2稳健型(25-40)-增1老客户-女-fix-combination_profit,C2稳健型(25-40)-增1老客户-女-dyn-combination_profit,C2稳健型(25-40)-增2老客户-男-fix-combination_profit,C2稳健型(25-40)-增2老客户-男-dyn-combination_profit,C2稳健型(25-40)-增2老客户-女-fix-combination_profit,C2稳健型(25-40)-增2老客户-女-dyn-combination_profit,C1保守型(0-25)-新客户-男-fix-combination_profit,C1保守型(0-25)-新客户-男-dyn-combination_profit,C1保守型(0-25)-新客户-女-fix-combination_profit,C1保守型(0-25)-新客户-女-dyn-combination_profit,C1保守型(0-25)-增1老客户-男-fix-combination_profit,C1保守型(0-25)-增1老客户-男-dyn-combination_profit,C1保守型(0-25)-增1老客户-女-fix-combination_profit,C1保守型(0-25)-增1老客户-女-dyn-combination_profit,C1保守型(0-25)-增2老客户-男-fix-combination_profit,C1保守型(0-25)-增2老客户-男-dyn-combination_profit,C1保守型(0-25)-增2老客户-女-fix-combination_profit,C1保守型(0-25)-增2老客户-女-dyn-combination_profit
2017-08-30,1.1391,1.1088,1.1723,0.9329010821917807,0.9320306999492993,0.9224392063013698,0.9215789463369193,1.1015177356164383,1.1013491084698543,1.0961791076712328,1.0961232316636642,1.0847588056164383,1.1013491084698543,1.0795050176712329,1.0961232316636642,0.9120882104109589,0.9111271927245392,0.9015124245205479,0.9006754391121594,1.0982663968493152,1.0982135823861403,1.0931558789041096,1.0929877055799502,1.081558976849315,1.0982135823861403,1.0765363289041097,1.0929877055799502,0.891050548630137,0.8902236854997796,0.880588672739726,0.8797719318873995,1.0951322880821919,1.0950780563024263,1.0899045401369862,1.0898521794962364,1.0784763780821918,1.0950780563024263,1.0733365001369861,1.0898521794962364,0.8702376768493151,0.8693201782750197,0.859661890958904,0.8588684246626397,1.0919981793150684,1.0919425302187122,1.086770431369863,1.0867166534125223,1.0753937793150683,1.0919425302187122,1.0702539013698629,1.0867166534125223,0.8492000150684932,0.8484166710502599,0.838738139178082,0.8379649174378798,1.0889749505479451,1.0888070041349982,1.08363632260274,1.0835811273288083,1.0724250905479453,1.0888070041349982,1.0671713026027398,1.0835811273288083
2017-08-29,1.1157,1.1352,1.1724,0.9351470821917808,0.9325398386051449,0.9246558863013699,0.9220817207595667,1.0889529356164382,1.1019613477035084,1.0836776376712327,1.0967322887807192,1.0997383856164382,1.1019613477035084,1.0944084876712328,1.0967322887807192,0.9142782104109589,0.9116236029139887,0.9036754445205479,0.9011654850684108,1.085740116849315,1.0988239123498351,1.0806955789041095,1.093594853427046,1.096492416849315,1.0988239123498351,1.0913913289041097,1.093594853427046,0.8931842486301371,0.8907073672228327,0.8826930527397261,0.8802492493772547,1.0826445380821919,1.0956864769961616,1.0774827601369863,1.0904574180733726,1.0933636880821918,1.0956864769961616,1.0881453601369864,1.0904574180733726,0.8723153768493151,0.8697911315316766,0.8617126109589041,0.8593330136860987,1.0795489593150684,1.0925490416424883,1.0743871813698629,1.087319982719699,1.0902349593150684,1.0925490416424883,1.085016631369863,1.087319982719699,0.8512214150684931,0.8488748958405206,0.8407302191780821,0.8384167779949426,1.0765669005479452,1.0894116062888148,1.07129160260274,1.0841825473660258,1.0872178005479451,1.0894116062888148,1.08188790260274,1.0841825473660258
2017-08-28,1.1454,1.0935,1.1796,0.9324290821917809,0.9318579123676256,0.9219736463013698,0.9214083186000164,1.1051488856164382,1.1011413314028915,1.0997923476712328,1.0959165345190869,1.0764429956164383,1.1011413314028915,1.0712317776712328,1.0959165345190869,0.9116275604109588,0.9109587248324074,0.9010575845205478,0.9005091310647985,1.1018860568493152,1.0980064532726088,1.0967568289041094,1.0927816563888042,1.073268396849315,1.0980064532726088,1.0682896789041096,1.0927816563888042,0.890602148630137,0.8900595372971893,0.880146712739726,0.8796099435295803,1.0987411880821916,1.0948715751423261,1.0934940001369864,1.0896467782585217,1.0702117580821917,1.0948715751423261,1.0651150801369862,1.0896467782585217,0.869800626849315,0.8691603497619714,0.859230650958904,0.8587107559943624,1.0955963193150684,1.0917366970120432,1.090349131369863,1.0865119001282388,1.0671551193150683,1.0917366970120432,1.062058441369863,1.0865119001282388,0.8487752150684932,0.8482611622267533,0.8383197791780821,0.8378115684591443,1.0925608005479452,1.0886018188817608,1.0872042626027398,1.0833770219979562,1.0642130205479452,1.0886018188817608,1.0590018026027397,1.0833770219979562
2017-08-27,1.09945,1.1342,1.1842,0.9352405821917809,0.9312553692795678,0.9247478363013698,0.9208133073005594,1.0798770056164382,1.1004167733395018,1.0746486626712328,1.0951957423499978,1.0990972306164384,1.1004167733395018,1.0937715876712328,1.0951957423499978,0.9143685104109589,0.9103712453215511,0.9037658195205479,0.8999291833425429,1.0766916318493152,1.0972841547457997,1.0716951289041097,1.0920631237562954,1.0958527818493151,1.0972841547457997,1.0907555039041097,1.0920631237562954,0.8932730736301371,0.8894871213635345,0.8827803277397259,0.8790450593845263,1.0736246780821916,1.094151536152097,1.0685097551369862,1.0889305051625928,1.0927267530821918,1.094151536152097,1.0875110551369862,1.0889305051625928,0.8724010018493151,0.8686029974055179,0.861798310958904,0.8581609354265096,1.0705577243150683,1.0910189175583944,1.065442801369863,1.0857978865688904,1.0896007243150685,1.0910189175583944,1.084385026369863,1.0857978865688904,0.8513055650684931,0.8477188734475013,0.8408128191780821,0.837276811468493,1.0676041905479452,1.087886298964692,1.0623758476027398,1.0826652679751878,1.0865846405479453,1.087886298964692,1.0812589976027398,1.0826652679751878
2017-08-25,1.0826,1.0935,1.1848,0.9209050821917808,0.9165870490948357,0.9105921263013699,0.9063283411181366,1.0637350456164383,1.082778118317362,1.0585936276712329,1.077648764329012,1.0697638356164383,1.082778118317362,1.0645918976712327,1.077648764329012,0.900388520410959,0.8960696331414374,0.8899673045205478,0.8858109251647382,1.0606009768493152,1.079700505924352,1.0556873889041096,1.0745711519360024,1.066611236849315,1.079700505924352,1.0616660389041097,1.0745711519360024,0.879654348630137,0.8755522171880391,0.869341392739726,0.86529350921134,1.0575853880821917,1.0766228935313424,1.0525533201369863,1.0714935395429928,1.0635771180821918,1.0766228935313424,1.0585134401369862,1.0714935395429928,0.8591377868493151,0.8550348012346408,0.8487165709589041,0.8447760932579417,1.0545697993150682,1.0735452811383326,1.049537731369863,1.068415927149983,1.0605429993150683,1.0735452811383326,1.055479321369863,1.068415927149983,0.8384036150684931,0.8345173852812424,0.8280906591780821,0.8242586773045433,1.0516635605479452,1.070467668745323,1.0465221426027398,1.065338314756973,1.0576171405479453,1.070467668745323,1.05244520260274,1.065338314756973
2017-08-24,1.0951,1.1012,1.1569,0.9166810821917808,0.9140777088184153,0.9064210463013699,0.9038503675951715,1.0683804956164384,1.0797606366349664,1.0632150476712328,1.0746469660233444,1.0717544056164383,1.0797606366349664,1.0665718776712327,1.0746469660233444,0.896271130410959,0.8936230263719276,0.8859015845205479,0.8833956851486836,1.065233836849315,1.076692434267993,1.0602941989041097,1.0715787636563712,1.068597376849315,1.076692434267993,1.0636400489041096,1.0715787636563712,0.875641548630137,0.8731683439254397,0.865381512739726,0.8629410027021959,1.0622028680821918,1.07362423190102,1.0571475401369863,1.0685105612893981,1.0655560380821918,1.07362423190102,1.0604830201369861,1.0685105612893981,0.855231596849315,0.8527136614789519,0.8448620509589041,0.842486320255708,1.0591718993150683,1.0705560295340466,1.0541165713698628,1.065442358922425,1.0625146993150683,1.0705560295340466,1.0574416813698628,1.065442358922425,0.8346020150684932,0.8322589790324642,0.8243419791780822,0.8220316378092203,1.0562510505479452,1.0674878271670738,1.0510856026027398,1.0623741565554516,1.059582870547945,1.0674878271670738,1.0544003426027397,1.0623741565554516
2017-08-23,1.1004,1.0978,1.1634,0.9189560821917808,0.9164408791820675,0.9086678263013699,0.9061839983292779,1.0726350956164383,1.0826023489972578,1.0674476276712328,1.077473908570863,1.0711970356164384,1.0826023489972578,1.0660168476712328,1.077473908570863,0.8984893504109589,0.8959271174764882,0.888091054520548,0.8856702366236988,1.0694747668493152,1.079525284741421,1.0645134189041097,1.0743968443150262,1.0680411268493153,1.079525284741421,1.0630873189041097,1.0743968443150262,0.8778027986301371,0.8754133557709092,0.8675145427397261,0.8651564749181198,1.0664307780821918,1.0764482204855843,1.0613530901369863,1.0713197800591894,1.0650015580821919,1.0764482204855843,1.0599314101369863,1.0713197800591894,0.8573360668493151,0.8548995940653301,0.8469377709589041,0.8446427132125406,1.0633867893150684,1.0733711562297472,1.058309101369863,1.0682427158033525,1.0619619893150685,1.0733711562297472,1.056891841369863,1.0682427158033525,0.8366495150684932,0.8343858323597511,0.8263612591780822,0.8241289515069614,1.0604525805479452,1.0702940919739103,1.05526511260274,1.0651656515475156,1.0590324605479453,1.0702940919739103,1.05385227260274,1.0651656515475156
2017-08-22,1.1294,1.0954,1.1598,0.9232460821917807,0.9225475085270352,0.9129049863013698,0.9122142948074334,1.0912687356164383,1.0899455707845813,1.0859846876712327,1.0847789639247805,1.0724633356164381,1.0899455707845813,1.0672744876712328,1.0847789639247805,0.9026734304109589,0.9018810810878317,0.8922193945205479,0.89154786736823,1.088050626849315,1.086845606668701,1.0829920989041095,1.0816789998089,1.069303026849315,1.086845606668701,1.0643430989041096,1.0816789998089,0.8818782986301369,0.8812146536486284,0.8715372027397259,0.8708814399290268,1.0849484980821917,1.0837456425528207,1.0797739901369863,1.0785790356930196,1.0662586980821918,1.0837456425528207,1.0611827901369861,1.0785790356930196,0.861305646849315,0.8605482262094252,0.8508516109589042,0.8502150124898236,1.0818463693150684,1.08064567843694,1.076671861369863,1.0754790715771392,1.0632143693150684,1.08064567843694,1.0581384613698628,1.0754790715771392,0.8405105150684931,0.8398817987702218,0.8301694191780822,0.8295485850506203,1.0788537805479452,1.0775457143210596,1.0735697326027398,1.0723791074612588,1.0602829805479452,1.0775457143210596,1.0550941326027397,1.0723791074612588
2017-08-21,1.0979,1.0742,1.1498,0.9077070821917808,0.9059741602858724,0.8975599663013698,0.8958481134192852,1.0658222756164384,1.0700161195245832,1.060672317671233,1.0649530960912896,1.0527138056164382,1.0700161195245832,1.047630207671233,1.0649530960912896,0.8875202704109589,0.8857220665526979,0.8772633645205479,0.8755960196861109,1.0626847968493152,1.0669783054646071,1.0577572389041097,1.0619152820313136,1.049616616849315,1.0669783054646071,1.0447577889041098,1.0619152820313136,0.8671162486301369,0.8654699728195239,0.856969132739726,0.8553439259529367,1.059662298082192,1.063940491404631,1.0546197601369864,1.0588774679713375,1.0466344080821919,1.063940491404631,1.0416606001369864,1.0588774679713375,0.8469294368493152,0.8452178790863496,0.836672530958904,0.8350918322197625,1.0566397993150685,1.0609026773446546,1.051597261369863,1.0558396539113613,1.0436521993150685,1.0609026773446546,1.038678391369863,1.0558396539113613,0.8265254150684931,0.8249657853531753,0.8163782991780821,0.8148397384865883,1.0537247205479452,1.0578648632846788,1.04857476260274,1.052801839851385,1.0407797805479453,1.0578648632846788,1.0356961826027398,1.052801839851385
2017-08-20,1.09425,1.0775,1.1381,0.9040875821917808,0.9025719443360585,0.8939855363013698,0.892488425168844,1.0617910756164382,1.0659249548449319,1.0566621126712326,1.0608831952613247,1.0525266506164384,1.0659249548449319,1.0474445876712326,1.0608831952613247,0.8839912404109589,0.8824049060016296,0.8737797695205478,0.8723213868344151,1.0586669618493152,1.0628998990947678,1.0537595589041096,1.0578581395111606,1.049431011849315,1.0628998990947678,1.0445721839041096,1.0578581395111606,0.863677723630137,0.8622378676672007,0.8535756777397259,0.8521543484999863,1.0556566580821916,1.0598748433446035,1.0506354451369861,1.0548330837609963,1.0464491830821916,1.0598748433446035,1.041476545136986,1.0548330837609963,0.843581381849315,0.8420708293327718,0.8333699109589041,0.8319873101655573,1.0526463543150684,1.0568497875944391,1.047625141369863,1.0518080280108317,1.0434673543150683,1.0568497875944391,1.0384947163698628,1.0518080280108317,0.823267865068493,0.8219037909983429,0.8131658191780822,0.8118202718311285,1.0497438005479451,1.0538247318442746,1.0446148376027398,1.0487829722606676,1.0405949505479453,1.0538247318442746,1.0355128876027397,1.0487829722606676
2017-08-18,1.0862,1.6925,1.1392,1.0687990821917808,1.0571111199747887,1.0566225663013697,1.04509586111209,1.1305399456164382,1.251758313550505,1.1250076676712328,1.245750684119156,1.4658844756164382,1.251758313550505,1.4586545576712329,1.245750684119156,1.0446153004109588,1.0330806022493915,1.0323301645205478,1.021065343386693,1.1271860768493152,1.2481537358916956,1.1219369689041097,1.2421461064603463,1.4614998968493151,1.2481537358916956,1.4544925189041096,1.2421461064603463,1.0201536486301368,1.0090500845239943,1.007977132739726,0.9970348256612958,1.1239461280821919,1.244549158232886,1.1185831001369864,1.238541528801537,1.4572292380821916,1.244549158232886,1.450107940136986,1.238541528801537,0.9959698668493151,0.9850195667985973,0.9836847309589041,0.9730043079358988,1.1207061793150683,1.2409445805740762,1.115343151369863,1.234936951142727,1.4529585793150683,1.2409445805740762,1.4458372813698628,1.234936951142727,0.971508215068493,0.9609890490732003,0.9593316991780821,0.9489737902105015,1.1176354805479451,1.2373400029152668,1.1121032026027398,1.2313323734839177,1.448796540547945,1.2373400029152668,1.44156662260274,1.2313323734839177
2017-08-17,1.1031,0.9957,1.1498,0.8876040821917808,0.8873988089745306,0.8777103463013698,0.8775049539993353,1.0598804056164381,1.0476792595726947,1.0547671976712327,1.0427323320850972,1.0004774656164384,1.0476792595726947,0.9956649776712329,1.0427323320850972,0.867916180410959,0.8676110990241399,0.8579121345205479,0.8577172440489446,1.056763406849315,1.0447111030801364,1.0518647489041095,1.0397641755925386,0.997543046849315,1.0447111030801364,0.9929558489041096,1.0397641755925386,0.848018398630137,0.8478233890737492,0.8381246627397261,0.8379295340985539,1.0537613880821917,1.0417429465875776,1.0487477501369864,1.03679601909998,0.9947236080821917,1.0417429465875776,0.9900214301369863,1.03679601909998,0.828330496849315,0.8280356791233585,0.8183264509589041,0.818141824148163,1.0507593693150683,1.0387747900950188,1.0457457313698628,1.0338278626074213,0.9919041693150684,1.0387747900950188,0.9872019913698631,1.0338278626074213,0.8084327150684931,0.8082479691729678,0.7985389791780821,0.7983541141977726,1.047856920547945,1.0358066336024603,1.0427437126027397,1.0308597061148628,0.9891950405479452,1.0358066336024603,0.9843825526027398,1.0308597061148628
2017-08-16,1.0908,0.9878,1.1401,0.8797840821917808,0.8794041034432567,0.8699879863013698,0.8696101822872022,1.0490137356164384,1.038065626171338,1.0439578376712328,1.0331686655933106,0.9920444356164384,1.038065626171338,0.9872769376712328,1.0331686655933106,0.8602906704109587,0.8598162611311477,0.8503854945205479,0.8500223399750935,1.045931546849315,1.0351274498245218,1.0410884389041097,1.0302304892464944,0.989137346849315,1.0351274498245218,0.9845929389041096,1.0302304892464944,0.8405893986301369,0.8402284188190391,0.830793302739726,0.8304344976629847,1.042963368082192,1.0321892734777054,1.0380062501369862,1.0272923128996783,0.9863442680821917,1.0321892734777054,0.9816858501369863,1.0272923128996783,0.8210959868493151,0.8206405765069302,0.8111908109589041,0.8108466553508757,1.0399951893150683,1.029251097130889,1.0350380713698628,1.0243541365528617,0.9835511893150684,1.029251097130889,0.9788927713698629,1.0243541365528617,0.8013947150684931,0.8010527341948214,0.7915986191780822,0.7912588130387669,1.0371257905479454,1.0263129207840727,1.0320698926027398,1.0214159602060455,0.9808671905479452,1.0263129207840727,0.9760996926027399,1.0214159602060455
2017-08-15,1.0974,0.9147,1.1443,0.8627770821917808,0.8637482243113512,0.85319556630137,0.8541500016444454,1.0453715256164382,1.0192394315152213,1.0403399176712327,1.0144403201817687,0.9443201556164383,1.0192394315152213,0.9398001076712328,1.0144403201817687,0.8437055204109589,0.8445517789775399,0.8340142645205479,0.8349535563106343,1.0423021968493151,1.01635996471515,1.0374764889041095,1.0115608533816969,0.941561416849315,1.01635996471515,0.9372655389041096,1.0115608533816969,0.824432748630137,0.8253553336437287,0.814851232739726,0.8157571109768231,1.0393472980821916,1.0134804979150782,1.0344071601369864,1.0086813865816255,0.9389171080821919,1.0134804979150782,0.9345068001369863,1.0086813865816255,0.8053611868493151,0.8061588883099176,0.7956699309589041,0.7965606656430119,1.0363923993150683,1.0106010311150064,1.031452261369863,1.0058019197815535,0.9362727993150685,1.0106010311150064,0.931862491369863,1.0058019197815535,0.7860884150684933,0.7869624429761063,0.7765068991780821,0.7773642203092008,1.0335289705479451,1.0077215643149349,1.0284973626027398,1.002922452981482,0.9337382305479452,1.0077215643149349,0.9292181826027397,1.002922452981482
2017-08-14,1.0943,1.1673,1.1437,0.9301360821917809,0.9287380034389445,0.9197061863013698,0.9183274085329441,1.0735707256164384,1.0973896409161525,1.0683736876712329,1.0921843434631524,1.1139470256164383,1.0973896409161525,1.108545587671233,1.0921843434631524,0.9093930204109589,0.9079168136269435,0.8988536945205479,0.8975062187209429,1.0704072268493152,1.0942664624443523,1.0654412889041096,1.0890611649913522,1.110659426849315,1.0942664624443523,1.1054817889041098,1.0890611649913522,0.8884237986301369,0.8870956238149424,0.8779939027397261,0.8766850289089418,1.0673580980821917,1.0911432839725523,1.0622777901369864,1.085937986519552,1.1074861980821917,1.0911432839725523,1.102194190136986,1.085937986519552,0.867680736849315,0.8662744340029414,0.8571414109589041,0.8558638390969409,1.0643089693150685,1.0880201055007521,1.059228661369863,1.0828148080477518,1.1043129693150684,1.0880201055007521,1.099020961369863,1.0828148080477518,0.8467115150684932,0.8454532441909405,0.8362816191780822,0.83504264928494,1.0613765705479452,1.0848969270289521,1.05617953260274,1.0796916295759518,1.1012491705479452,1.0848969270289521,1.0958477326027398,1.0796916295759518
2017-08-13,1.0802,0.9769,1.1664,0.8830310821917808,0.8760575507978301,0.8731944063013699,0.8663054615498436,1.0449933456164384,1.0340413966152124,1.039958507671233,1.0291653519912192,0.9878581156164383,1.0340413966152124,0.9831125176712329,1.0291653519912192,0.8634554204109589,0.8565533723018569,0.853510724520548,0.8468012830538701,1.0419219968493152,1.0311157698408167,1.0371014889041097,1.0262397252168232,0.9849623768493151,1.0311157698408167,0.9804414389041096,1.0262397252168232,0.8436740486301371,0.8370491938058837,0.833837372739726,0.8272971045578971,1.0389672880821919,1.0281901430664204,1.0340301401369865,1.0233140984424272,0.9821832780821917,1.0281901430664204,0.9775457001369863,1.0233140984424272,0.8240983868493151,0.8175450153099106,0.8141536909589042,0.807792926061924,1.0360125793150685,1.0252645162920246,1.031075431369863,1.0203884716680314,0.9794041793150684,1.0252645162920246,0.9747666013698629,1.0203884716680314,0.8043170150684932,0.7980408368139373,0.7944803391780821,0.788288747565951,1.0331555605479452,1.0223388895176284,1.02812072260274,1.0174628448936354,0.9767331005479454,1.0223388895176284,0.9719875026027398,1.0174628448936354
